ecms_tag_id,layer,equipment_id,description_ko,data_type,unit,value_rule,status,editable,source_or_basis
ECMS.GRID.VOLTAGE,A,GRID-154KV,외부계통 전압,REAL,kV,A 설정값 또는 향후 계측입력,PROVISIONAL,true,GRID_VOLTAGE_KV
ECMS.GT.MW,C,GTG,GT 발전기 유효전력,REAL,MW,GT 시나리오 출력감발식,PROVISIONAL,false,GTG_PRETRIP_POWER_MW
ECMS.ST.MW,M,STG,ST 발전기 유효전력,REAL,MW,TSP.GEN.ACTIVE_POWER/1e6,MODEL_LOCKED,false,TSP.GEN.ACTIVE_POWER
ECMS.52GT.CLOSED,E,52GT,GT 발전기 차단기 상태,BOOL,-,TRIP 또는 OPEN 시 0; CLOSE는 별도 permissive 경로,PROVISIONAL,false,CB_52GT_TRIP / CB_52GT_CMD
ECMS.52ST.CLOSED,E,52ST,ST 발전기 차단기 상태,BOOL,-,TRIP 또는 OPEN 시 0; CLOSE는 별도 permissive 경로,PROVISIONAL,false,CB_52ST_TRIP / CB_52ST_CMD
ECMS.GT.TRIP_REQUEST,E,GTG,공통 GT Trip 요청,BOOL,-,GT command 또는 임의 Drum LL,PROVISIONAL,false,common_trip_matrix.csv
ECMS.ST.TRIP_REQUEST,E,STG,공통 ST Trip 요청,BOOL,-,ST command 또는 GT command 또는 임의 Drum HH/LL,PROVISIONAL,false,common_trip_matrix.csv
ECMS.52GT.TRIP_CMD,E,52GT,52GT Trip 명령 latch,BOOL,-,86GT 동작 후 1; 저출력으로 기동하지 않음,PROVISIONAL,false,gt_trip_request
ECMS.52ST.TRIP_CMD,E,52ST,52ST Trip 명령 latch,BOOL,-,st_trip_request 발생 시 1; ST 저출력은 원인이 아님,PROVISIONAL,false,st_trip_request
ECMS.TR-GT.DIRECTION,C,TR-GT,GT 주 변압기 전력방향,ENUM,-,발전 또는 역수전 상태판정,PROVISIONAL,false,52GT + GRID 상태
ECMS.TR-ST.DIRECTION,C,TR-ST,ST 주 변압기 전력방향,ENUM,-,M 발전출력과 계통상태 판정,PROVISIONAL,false,TSP.GEN.ACTIVE_POWER + 52ST
ECMS.CB-IN-A.CLOSED,E,CB-IN-A,6.9 kV BUS-A 인커밍 차단기,BOOL,-,TRIP 또는 OPEN 시 0,PROVISIONAL,false,CB_IN_A_TRIP / CB_IN_A_CMD
ECMS.CB-IN-B.CLOSED,E,CB-IN-B,6.9 kV BUS-B 인커밍 차단기,BOOL,-,TRIP 또는 OPEN 시 0,PROVISIONAL,false,CB_IN_B_TRIP / CB_IN_B_CMD
ECMS.CB-TIE-AB.CLOSED,E,CB-TIE-AB,6.9 kV 모선연락 차단기,BOOL,-,TRIP 또는 OPEN 시 0,PROVISIONAL,false,CB_TIE_AB_TRIP / CB_TIE_AB_CMD
ECMS.VCB-A01.TRIP_CMD,E,VCB-A01,HP 급수펌프 feeder Trip 명령,BOOL,-,FWP-HP Trip latch 또는 feeder 보호동작 시 1,PROVISIONAL,false,FWP_HP_TRIP / feeder protection
ECMS.VCB-A01.CLOSED,E,VCB-A01,HP 급수펌프 feeder 차단기 상태,BOOL,-,FWP-HP TRIP 시 0; 정상 STOP은 CLOSED 유지,PROVISIONAL,false,FWP_HP_TRIP
ECMS.VCB-B01.TRIP_CMD,E,VCB-B01,IP 급수펌프 feeder Trip 명령,BOOL,-,FWP-IP Trip latch 또는 feeder 보호동작 시 1,PROVISIONAL,false,FWP_IP_TRIP / feeder protection
ECMS.VCB-B01.CLOSED,E,VCB-B01,IP 급수펌프 feeder 차단기 상태,BOOL,-,FWP-IP TRIP 시 0; 정상 STOP은 CLOSED 유지,PROVISIONAL,false,FWP_IP_TRIP
ECMS.VCB-A02.TRIP_CMD,E,VCB-A02,LP 급수펌프 feeder Trip 명령,BOOL,-,FWP-LP Trip latch 또는 feeder 보호동작 시 1,PROVISIONAL,false,FWP_LP_TRIP / feeder protection
ECMS.VCB-A02.CLOSED,E,VCB-A02,LP 급수펌프 feeder 차단기 상태,BOOL,-,FWP-LP TRIP 시 0; 정상 STOP은 CLOSED 유지,PROVISIONAL,false,FWP_LP_TRIP
ECMS.BUS-A.VOLTAGE,C,BUS-A,6.9 kV BUS-A 전압,REAL,kV,활성 전원경로 전파,PROVISIONAL,false,GRID/GTG + TR-GT + UAT-A
ECMS.BUS-B.VOLTAGE,C,BUS-B,6.9 kV BUS-B 전압,REAL,kV,활성 전원경로 전파,PROVISIONAL,false,GRID/STG + TR-ST + UAT-B
