index,prior_tag_id,category,prior_scope,prior_description,unit,prior_verification,exclusion_reason
0,vppHPDrumInventoryDisturbanceMassFlowTH,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 교란 질량유량,t/h,HIGH_CONFIDENCE,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
1,vppHPDrumInventoryFaultEnthalpyCommand.signal,DRUM_INVENTORY_FAULT_LEGACY,SCENARIO_LAB_ONLY_LEGACY,HP Drum 재고량 고장 주입 비엔탈피 명령 신호,J/kg,SEMANTIC_CONFIRMED_SOURCE_DECLARATION_MISSING,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
2,vppHPDrumInventoryFaultFlowCommand.signal,DRUM_INVENTORY_FAULT_LEGACY,SCENARIO_LAB_ONLY_LEGACY,HP Drum 재고량 고장 주입 질량유량 명령 신호,kg/s,SEMANTIC_CONFIRMED_SOURCE_DECLARATION_MISSING,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
3,vppHPDrumInventoryFaultInjector.C1.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 주입기 입구 포트 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
4,vppHPDrumInventoryFaultInjector.C1.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 주입기 입구 포트 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
5,vppHPDrumInventoryFaultInjector.C1.a,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppHPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 a,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
6,vppHPDrumInventoryFaultInjector.C1.b,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppHPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 b,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
7,vppHPDrumInventoryFaultInjector.C1.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 주입기 입구 포트 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
8,vppHPDrumInventoryFaultInjector.C1.h_vol,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 주입기 입구 포트 체적측 비엔탈피 상태,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
9,vppHPDrumInventoryFaultInjector.C2.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 주입기 출구 포트 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
10,vppHPDrumInventoryFaultInjector.C2.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 주입기 출구 포트 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
11,vppHPDrumInventoryFaultInjector.C2.a,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppHPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 a,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
12,vppHPDrumInventoryFaultInjector.C2.b,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppHPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 b,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
13,vppHPDrumInventoryFaultInjector.C2.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,HP Drum 재고량 고장 주입기 출구 포트 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
