rule_id,event_class,priority,equipment,tag,source_node,active_when,active_threshold,return_threshold,unit,active_message,return_message,enabled,delay_s
GT_TRIP_LATCH,PROTECTION,CRITICAL,GT,TRIP_LATCH,vppGTTripLatch,HIGH,0.5,0.5,BOOL,GT TRIP LATCH ACTIVE,GT TRIP LATCH RESET,1,0
GT_BREAKER_OPEN,PROTECTION,HIGH,52GT,BREAKER_OPEN,vpp52GTClosed,LOW,0.5,0.5,BOOL,52GT BREAKER OPEN,52GT BREAKER CLOSED,1,0
ST_TRIP_LATCH,PROTECTION,CRITICAL,ST,TRIP_LATCH,vppSTTripLatchPublished,HIGH,0.5,0.5,BOOL,ST TRIP LATCH ACTIVE,ST TRIP LATCH RESET,1,0
ST_BREAKER_OPEN,PROTECTION,HIGH,52ST,BREAKER_OPEN,vpp52STClosed,LOW,0.5,0.5,BOOL,52ST BREAKER OPEN,52ST BREAKER CLOSED,1,0
CB_IN_A_OPEN,PROTECTION,HIGH,CB-IN-A,BREAKER_OPEN,vppECMSCBInAClosed,LOW,0.5,0.5,BOOL,CB-IN-A OPEN,CB-IN-A CLOSED,1,0
CB_IN_B_OPEN,PROTECTION,HIGH,CB-IN-B,BREAKER_OPEN,vppECMSCBInBClosed,LOW,0.5,0.5,BOOL,CB-IN-B OPEN,CB-IN-B CLOSED,1,0
CB_TIE_AB_OPEN,PROTECTION,HIGH,CB-TIE-AB,BREAKER_OPEN,vppECMSCBTieClosed,LOW,0.5,0.5,BOOL,CB-TIE-AB OPEN,CB-TIE-AB CLOSED,1,0
BUS_A_UNAVAILABLE,ALARM,CRITICAL,BUS-A,BUS_UNAVAILABLE,vppECMSBusAAvailable,LOW,0.5,0.5,BOOL,BUS-A UNAVAILABLE,BUS-A AVAILABLE,1,0
BUS_B_UNAVAILABLE,ALARM,CRITICAL,BUS-B,BUS_UNAVAILABLE,vppECMSBusBAvailable,LOW,0.5,0.5,BOOL,BUS-B UNAVAILABLE,BUS-B AVAILABLE,1,0
VCB_A01_OPEN,PROTECTION,HIGH,VCB-A01,BREAKER_OPEN,vppECMSVCBA01Closed,LOW,0.5,0.5,BOOL,VCB-A01 OPEN,VCB-A01 CLOSED,1,0
VCB_B01_OPEN,PROTECTION,HIGH,VCB-B01,BREAKER_OPEN,vppECMSVCBB01Closed,LOW,0.5,0.5,BOOL,VCB-B01 OPEN,VCB-B01 CLOSED,1,0
VCB_A02_OPEN,PROTECTION,HIGH,VCB-A02,BREAKER_OPEN,vppECMSVCBA02Closed,LOW,0.5,0.5,BOOL,VCB-A02 OPEN,VCB-A02 CLOSED,1,0
HP_FWP_MOTOR_OFF,PROTECTION,HIGH,HP BFP,MOTOR_DEENERGIZED,vppHPFWPMotorEnergized,LOW,0.5,0.5,BOOL,HP BFP MOTOR DEENERGIZED,HP BFP MOTOR ENERGIZED,1,0
HP_FWP_RUNNING_LOST,ALARM,HIGH,HP BFP,RUNNING_LOST,vppHPFWPRunning,LOW,0.5,0.5,BOOL,HP BFP RUNNING LOST,HP BFP RUNNING RESTORED,1,0
HP_FWP_SPEED_LOST,ALARM,MEDIUM,HP BFP,SPEED_PROVEN_LOST,vppHPFWPSpeedProven,LOW,0.5,0.5,BOOL,HP BFP SPEED PROVEN LOST,HP BFP SPEED PROVEN RESTORED,1,0
HP_FWP_NRV_CLOSED,ALARM,MEDIUM,HP BFP NRV,CHECK_VALVE_CLOSED,vppHPFWPCheckValveOpen,LOW,0.5,0.5,BOOL,HP BFP CHECK VALVE CLOSED,HP BFP CHECK VALVE OPEN,1,0
IP_FWP_MOTOR_OFF,PROTECTION,HIGH,IP BFP,MOTOR_DEENERGIZED,vppIPFWPMotorEnergized,LOW,0.5,0.5,BOOL,IP BFP MOTOR DEENERGIZED,IP BFP MOTOR ENERGIZED,1,0
IP_FWP_RUNNING_LOST,ALARM,HIGH,IP BFP,RUNNING_LOST,vppIPFWPRunning,LOW,0.5,0.5,BOOL,IP BFP RUNNING LOST,IP BFP RUNNING RESTORED,1,0
IP_FWP_SPEED_LOST,ALARM,HIGH,IP BFP,SPEED_PROVEN_LOST,vppIPFWPSpeedProven,LOW,0.5,0.5,BOOL,IP BFP SPEED PROVEN LOST,IP BFP SPEED PROVEN RESTORED,1,0
IP_FWP_NRV_CLOSED,ALARM,MEDIUM,IP BFP NRV,CHECK_VALVE_CLOSED,vppIPFWPCheckValveOpen,LOW,0.5,0.5,BOOL,IP BFP CHECK VALVE CLOSED,IP BFP CHECK VALVE OPEN,1,0
LP_FWP_MOTOR_OFF,PROTECTION,HIGH,LP BFP,MOTOR_DEENERGIZED,vppLPFWPMotorEnergized,LOW,0.5,0.5,BOOL,LP BFP MOTOR DEENERGIZED,LP BFP MOTOR ENERGIZED,1,0
LP_FWP_RUNNING_LOST,ALARM,HIGH,LP BFP,RUNNING_LOST,vppLPFWPRunning,LOW,0.5,0.5,BOOL,LP BFP RUNNING LOST,LP BFP RUNNING RESTORED,1,0
LP_FWP_SPEED_LOST,ALARM,HIGH,LP BFP,SPEED_PROVEN_LOST,vppLPFWPSpeedProven,LOW,0.5,0.5,BOOL,LP BFP SPEED PROVEN LOST,LP BFP SPEED PROVEN RESTORED,1,0
LP_FWP_NRV_CLOSED,ALARM,MEDIUM,LP BFP NRV,CHECK_VALVE_CLOSED,vppLPFWPCheckValveOpen,LOW,0.5,0.5,BOOL,LP BFP CHECK VALVE CLOSED,LP BFP CHECK VALVE OPEN,1,0
VLV_HP_FWCV_FAULT,ALARM,HIGH,HP FWCV,VALVE_FAULT,vppVlvHPFWCVFaultActive,HIGH,0.5,0.5,BOOL,HP FWCV FAULT ACTIVE,HP FWCV FAULT RETURN,1,0
VLV_HP_STEAM_FAULT,ALARM,HIGH,HP STEAM VALVE,VALVE_FAULT,vppVlvHPSteamFaultActive,HIGH,0.5,0.5,BOOL,HP STEAM VALVE FAULT ACTIVE,HP STEAM VALVE FAULT RETURN,1,0
VLV_IP_FWCV_FAULT,ALARM,HIGH,IP FWCV,VALVE_FAULT,vppVlvIPFWCVFaultActive,HIGH,0.5,0.5,BOOL,IP FWCV FAULT ACTIVE,IP FWCV FAULT RETURN,1,0
VLV_IP_STEAM_FAULT,ALARM,HIGH,IP STEAM VALVE,VALVE_FAULT,vppVlvIPSteamFaultActive,HIGH,0.5,0.5,BOOL,IP STEAM VALVE FAULT ACTIVE,IP STEAM VALVE FAULT RETURN,1,0
VLV_LP_STEAM_FAULT,ALARM,HIGH,LP STEAM VALVE,VALVE_FAULT,vppVlvLPSteamFaultActive,HIGH,0.5,0.5,BOOL,LP STEAM VALVE FAULT ACTIVE,LP STEAM VALVE FAULT RETURN,1,0
