rule_id,block_id,block_type,condition_or_label,delay,reset_hysteresis,validation_status,output_class
AL-GT-FLOW-L,condition:AL-GT-FLOW-L,CONDITION,value < 545 kg/s,,,,
AL-GT-FLOW-L,operation:AL-GT-FLOW-L,OPERATION,"GT exhaust flow low
ALARM",,,,
AL-GT-FLOW-L,additional:AL-GT-FLOW-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.2 s,+6 kg/s,PARTIAL,DERIVED_ALARM
AL-GT-FLOW-LL,condition:AL-GT-FLOW-LL,CONDITION,value < 300 kg/s,,,,
AL-GT-FLOW-LL,operation:AL-GT-FLOW-LL,OPERATION,"GT exhaust flow low-low
ALARM",,,,
AL-GT-FLOW-LL,additional:AL-GT-FLOW-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.2 s,+6 kg/s,PARTIAL,DERIVED_ALARM
AL-GT-TEMP-L,condition:AL-GT-TEMP-L,CONDITION,value < 805 K,,,,
AL-GT-TEMP-L,operation:AL-GT-TEMP-L,OPERATION,"GT exhaust temperature low
ALARM",,,,
AL-GT-TEMP-L,additional:AL-GT-TEMP-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.2 s,+5 K,PARTIAL,DERIVED_ALARM
AL-GT-TEMP-LL,condition:AL-GT-TEMP-LL,CONDITION,value < 580 K,,,,
AL-GT-TEMP-LL,operation:AL-GT-TEMP-LL,OPERATION,"GT exhaust temperature low-low
ALARM",,,,
AL-GT-TEMP-LL,additional:AL-GT-TEMP-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.2 s,+5 K,PARTIAL,DERIVED_ALARM
AL-HP-FLOW-L,condition:AL-HP-FLOW-L,CONDITION,value < 486 t/h,,,,
AL-HP-FLOW-L,operation:AL-HP-FLOW-L,OPERATION,"HP turbine steam flow L
ALARM",,,,
AL-HP-FLOW-L,additional:AL-HP-FLOW-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.2 s,10.8 t/h,PARTIAL,DERIVED_ALARM
AL-HP-FLOW-LL,condition:AL-HP-FLOW-LL,CONDITION,value < 324 t/h,,,,
AL-HP-FLOW-LL,operation:AL-HP-FLOW-LL,OPERATION,"HP turbine steam flow LL
ALARM",,,,
AL-HP-FLOW-LL,additional:AL-HP-FLOW-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.2 s,10.8 t/h,PARTIAL,DERIVED_ALARM
AL-HP-LEVEL-H,condition:AL-HP-LEVEL-H,CONDITION,value > 1.15 m,,,,
AL-HP-LEVEL-H,operation:AL-HP-LEVEL-H,OPERATION,"HP drum level H
ALARM",,,,
AL-HP-LEVEL-H,additional:AL-HP-LEVEL-H,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-HP-LEVEL-HH,condition:AL-HP-LEVEL-HH,CONDITION,value > 1.25 m,,,,
AL-HP-LEVEL-HH,operation:AL-HP-LEVEL-HH,OPERATION,"HP drum level HH
ALARM",,,,
AL-HP-LEVEL-HH,additional:AL-HP-LEVEL-HH,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-HP-LEVEL-L,condition:AL-HP-LEVEL-L,CONDITION,value < 0.95 m,,,,
AL-HP-LEVEL-L,operation:AL-HP-LEVEL-L,OPERATION,"HP drum level L
ALARM",,,,
AL-HP-LEVEL-L,additional:AL-HP-LEVEL-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-HP-LEVEL-LL,condition:AL-HP-LEVEL-LL,CONDITION,value < 0.85 m,,,,
AL-HP-LEVEL-LL,operation:AL-HP-LEVEL-LL,OPERATION,"HP drum level LL
ALARM",,,,
AL-HP-LEVEL-LL,additional:AL-HP-LEVEL-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,0.02 m,PARTIAL,DERIVED_ALARM
AL-HP-PRESS-L,condition:AL-HP-PRESS-L,CONDITION,value < 12000000 Pa,,,,
AL-HP-PRESS-L,operation:AL-HP-PRESS-L,OPERATION,"HP drum pressure L
ALARM",,,,
AL-HP-PRESS-L,additional:AL-HP-PRESS-L,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,200000 Pa,PARTIAL,DERIVED_ALARM
AL-HP-PRESS-LL,condition:AL-HP-PRESS-LL,CONDITION,value < 10800000 Pa,,,,
AL-HP-PRESS-LL,operation:AL-HP-PRESS-LL,OPERATION,"HP drum pressure LL
ALARM",,,,
AL-HP-PRESS-LL,additional:AL-HP-PRESS-LL,ADDITIONAL_INFO,ADDITIONAL INFO,0.5 s,200000 Pa,PARTIAL,DERIVED_ALARM
