control_point_id,system,equipment_id,native_object,native_class,service_ko,auto_driver,auto_driver_kind,native_input,native_position_basis,native_cv,native_flow,native_inlet_pressure,native_outlet_pressure,command_unit,min_cmd,max_cmd,model_status,notes
HP_FWCV,HRSG,HP-FWCV,vanne_alimentationHP,ThermoSysPro.WaterSteam.PressureLosses.ControlValve,HP 드럼 급수조절밸브,regulation_Niveau_HP.SortieReelle1,LEVEL_CONTROLLER,vanne_alimentationHP.Ouv.signal,vanne_alimentationHP.Cv/vanne_alimentationHP.Cvmax,vanne_alimentationHP.Cv,vanne_alimentationHP.Q,vanne_alimentationHP.C1.P,vanne_alimentationHP.C2.P,pu,0,1,NATIVE_MAPPED,HP drum level controller output drives Ouv
HP_STEAM_VLV,HRSG,HP-STM-VLV,vanne_vapeurHP,ThermoSysPro.WaterSteam.PressureLosses.ControlValve,HP 드럼 증기밸브,constante_vanne_vapeurHP.y.signal,CONSTANT_SOURCE,vanne_vapeurHP.Ouv.signal,vanne_vapeurHP.Cv/vanne_vapeurHP.Cvmax,vanne_vapeurHP.Cv,vanne_vapeurHP.Q,vanne_vapeurHP.C1.P,vanne_vapeurHP.C2.P,pu,0,1,NATIVE_MAPPED,Native constant source is 0.5 pu
IP_FWCV,HRSG,IP-FWCV,vanne_alimentationMP,ThermoSysPro.WaterSteam.PressureLosses.ControlValve,IP 드럼 급수조절밸브,regulation_Niveau_MP.SortieReelle1,LEVEL_CONTROLLER,vanne_alimentationMP.Ouv.signal,vanne_alimentationMP.Cv/vanne_alimentationMP.Cvmax,vanne_alimentationMP.Cv,vanne_alimentationMP.Q,vanne_alimentationMP.C1.P,vanne_alimentationMP.C2.P,pu,0,1,NATIVE_MAPPED,Native MP object is published as IP at the TripLens boundary
IP_STEAM_VLV,HRSG,IP-STM-VLV,vanne_vapeurMP,ThermoSysPro.WaterSteam.PressureLosses.ControlValve,IP 드럼 증기밸브,constante_vanne_vapeurMP.y.signal,CONSTANT_SOURCE,vanne_vapeurMP.Ouv.signal,vanne_vapeurMP.Cv/vanne_vapeurMP.Cvmax,vanne_vapeurMP.Cv,vanne_vapeurMP.Q,vanne_vapeurMP.C1.P,vanne_vapeurMP.C2.P,pu,0,1,NATIVE_MAPPED,Native MP object is published as IP at the TripLens boundary
LP_STEAM_VLV,HRSG,LP-STM-VLV,vanne_vapeurBP,ThermoSysPro.WaterSteam.PressureLosses.ControlValve,LP 드럼 증기조절밸브,regulation_Niveau_BP.SortieReelle1,LEVEL_CONTROLLER,vanne_vapeurBP.Ouv.signal,vanne_vapeurBP.Cv/vanne_vapeurBP.Cvmax,vanne_vapeurBP.Cv,vanne_vapeurBP.Q,vanne_vapeurBP.C1.P,vanne_vapeurBP.C2.P,pu,0,1,NATIVE_MAPPED,Native BP object is published as LP at the TripLens boundary
LP_FW_VLV,HRSG,LP-FW-VLV,vanne_alimentationBP,ThermoSysPro.WaterSteam.PressureLosses.ControlValve,LP 드럼 급수밸브,constante_vanne_vapeurBP.y.signal,CONSTANT_SOURCE,vanne_alimentationBP.Ouv.signal,vanne_alimentationBP.Cv/vanne_alimentationBP.Cvmax,vanne_alimentationBP.Cv,vanne_alimentationBP.Q,vanne_alimentationBP.C1.P,vanne_alimentationBP.C2.P,pu,0,1,NATIVE_MAPPED,Connect equation is direction-neutral despite reversed textual order
LP_TO_HPIP_FW_VLV,HRSG,LP-HPIP-FW-VLV,Vanne_alimentationMPHP,ThermoSysPro.WaterSteam.PressureLosses.ControlValve,LP 계통에서 HP/IP 계통으로 가는 급수밸브,constante_ballonBP.y.signal,CONSTANT_SOURCE,Vanne_alimentationMPHP.Ouv.signal,Vanne_alimentationMPHP.Cv/Vanne_alimentationMPHP.Cvmax,Vanne_alimentationMPHP.Cv,Vanne_alimentationMPHP.Q,Vanne_alimentationMPHP.C1.P,Vanne_alimentationMPHP.C2.P,pu,0,1,NATIVE_MAPPED,Connect equation is direction-neutral despite reversed textual order
COND_EXTRACTION_VLV,BOP,COND-EXT-VLV,vanne_extraction,ThermoSysPro.WaterSteam.PressureLosses.ControlValve,복수기 수위조절 추출밸브,regulation_Niveau_Condenseur.SortieReelle1,LEVEL_CONTROLLER,vanne_extraction.Ouv.signal,vanne_extraction.Cv/vanne_extraction.Cvmax,vanne_extraction.Cv,vanne_extraction.Q,vanne_extraction.C1.P,vanne_extraction.C2.P,pu,0,1,NATIVE_MAPPED,Condenser three-element level controller output drives Ouv
HP_TURB_ADM_VLV,ST,HP-TURB-ADM-VLV,vanne_entree_TurbineHP,ThermoSysPro.WaterSteam.PressureLosses.ControlValve,HP 터빈 입구 조절밸브,ConstantVanneTurbineHP.y.signal,TIME_TABLE,vanne_entree_TurbineHP.Ouv.signal,vanne_entree_TurbineHP.Cv/vanne_entree_TurbineHP.Cvmax,vanne_entree_TurbineHP.Cv,vanne_entree_TurbineHP.Q,vanne_entree_TurbineHP.C1.P,vanne_entree_TurbineHP.C2.P,pu,0,1,NATIVE_MAPPED,Native time table is 0.8 pu in the current operating window
HP_FW_ISO_VLV,HRSG,HP-FW-ISO-VLV,Vanne_alimentationMPHP1,ThermoSysPro.WaterSteam.PressureLosses.ControlValve,HP 급수펌프 토출측 밸브,arretPomesMp1.y.signal,TIME_RAMP,Vanne_alimentationMPHP1.Ouv.signal,Vanne_alimentationMPHP1.Cv/Vanne_alimentationMPHP1.Cvmax,Vanne_alimentationMPHP1.Cv,Vanne_alimentationMPHP1.Q,Vanne_alimentationMPHP1.C1.P,Vanne_alimentationMPHP1.C2.P,pu,0,1,NATIVE_MAPPED,Despite the legacy source name this valve is connected downstream of PompeAlimHP
