equipment_id,event_equipment,aliases,plant_page,plant_location_id,ecms_page,ecms_location_id,detail_asset,equipment_type,mapping_status,notes
GT,GT,GTG,PLANT_OVERVIEW,GT,ECMS_VPP,GT,,SYSTEM,BOUND,GT appears in both plant and ECMS overviews
52GT,52GT,GT BREAKER,,,ECMS_VPP,52GT,,BREAKER,BOUND,Generator breaker is ECMS-only
ST,ST,STG,PLANT_OVERVIEW,ST,ECMS_VPP,ST,,SYSTEM,BOUND,Steam-turbine train and ECMS generator path
52ST,52ST,ST BREAKER,,,ECMS_VPP,52ST,,BREAKER,BOUND,Generator breaker is ECMS-only
CB-IN-A,CB-IN-A,IN-A,,,ECMS_6P9KV,CB-IN-A,,BREAKER,BOUND,BUS-A incoming breaker
CB-IN-B,CB-IN-B,IN-B,,,ECMS_6P9KV,CB-IN-B,,BREAKER,BOUND,BUS-B incoming breaker
CB-TIE-AB,CB-TIE-AB,TIE-AB;BUS TIE,,,ECMS_6P9KV,CB-TIE-AB,,BREAKER,BOUND,6.9 kV bus tie breaker
BUS-A,BUS-A,6.9KV BUS-A,,,ECMS_6P9KV,BUS-A,,BUS,BOUND,Auxiliary bus A
BUS-B,BUS-B,6.9KV BUS-B,,,ECMS_6P9KV,BUS-B,,BUS,BOUND,Auxiliary bus B
VCB-A01,VCB-A01,HP BFP FEEDER;FWP-HP VCB,,,ECMS_6P9KV,VCB-A01,,BREAKER,BOUND,HP BFP feeder breaker
VCB-B01,VCB-B01,IP BFP FEEDER;FWP-IP VCB,,,ECMS_6P9KV,VCB-B01,,BREAKER,BOUND,IP BFP feeder breaker
VCB-A02,VCB-A02,LP BFP FEEDER;FWP-LP VCB,,,ECMS_6P9KV,VCB-A02,,BREAKER,BOUND,LP BFP feeder breaker
FWP-HP,HP BFP,FWP-HP;HP FWP,PLANT_OVERVIEW,HP_BFP,ECMS_6P9KV,VCB-A01,,PUMP,BOUND,Plant pump location plus ECMS feeder location
FWP-HP-NRV,HP BFP NRV,HP FWP NRV;FWP-HP NRV,PLANT_OVERVIEW,HP_BFP_NRV,,,topology/opcua/check_valves/hp-fwp-discharge-nrv.svg,CHECK_VALVE,BOUND,HP BFP discharge NRV
FWP-IP,IP BFP,FWP-IP;IP FWP,PLANT_OVERVIEW,IP_BFP,ECMS_6P9KV,VCB-B01,,PUMP,BOUND,Plant pump location plus ECMS feeder location
FWP-IP-NRV,IP BFP NRV,IP FWP NRV;FWP-IP NRV,PLANT_OVERVIEW,IP_BFP_NRV,,,topology/opcua/check_valves/ip-fwp-discharge-nrv.svg,CHECK_VALVE,BOUND,IP BFP discharge NRV
FWP-LP,LP BFP,FWP-LP;LP FWP,PLANT_OVERVIEW,LP_BFP,ECMS_6P9KV,VCB-A02,,PUMP,BOUND,Plant pump location plus ECMS feeder location
FWP-LP-NRV,LP BFP NRV,LP FWP NRV;FWP-LP NRV,PLANT_OVERVIEW,LP_BFP_NRV,,,topology/opcua/check_valves/lp-fwp-discharge-nrv.svg,CHECK_VALVE,BOUND,LP BFP discharge NRV
HP-FWCV,HP FWCV,HP_FWCV,PLANT_OVERVIEW,HP_FWCV,,,topology/valves/hp-fwcv.svg,VALVE,BOUND,HP drum feedwater control valve
HP-STM-VLV,HP STEAM VALVE,HP_STEAM_VLV,PLANT_OVERVIEW,HP_STEAM_VLV,,,topology/valves/hp-steam-vlv.svg,VALVE,BOUND,HP drum steam valve
IP-FWCV,IP FWCV,IP_FWCV,PLANT_OVERVIEW,IP_FWCV,,,topology/valves/ip-fwcv.svg,VALVE,BOUND,IP drum feedwater control valve
IP-STM-VLV,IP STEAM VALVE,IP_STEAM_VLV,PLANT_OVERVIEW,IP_STEAM_VLV,,,topology/valves/ip-steam-vlv.svg,VALVE,BOUND,IP drum steam valve
LP-STM-VLV,LP STEAM VALVE,LP_STEAM_VLV,PLANT_OVERVIEW,LP_STEAM_VLV,,,topology/valves/lp-steam-vlv.svg,VALVE,BOUND,LP drum steam valve
LP-FW-VLV,LP FW VALVE,LP_FW_VLV,PLANT_OVERVIEW,LP_FW_VLV,,,topology/valves/lp-fw-vlv.svg,VALVE,BOUND,LP drum feedwater valve
LP-HPIP-FW-VLV,LP TO HPIP FW VALVE,LP_TO_HPIP_FW_VLV,PLANT_OVERVIEW,LP_TO_HPIP_FW_VLV,,,topology/valves/lp-to-hpip-fw-vlv.svg,VALVE,BOUND,LP to HP/IP feedwater valve
COND-EXT-VLV,COND EXTRACTION VALVE,COND_EXTRACTION_VLV,PLANT_OVERVIEW,COND_EXTRACTION_VLV,,,topology/valves/cond-extraction-vlv.svg,VALVE,BOUND,Condenser extraction control valve
HP-TURB-ADM-VLV,HP TURB ADM VALVE,HP_TURB_ADM_VLV,PLANT_OVERVIEW,HP_TURB_ADM_VLV,,,topology/valves/hp-turb-adm-vlv.svg,VALVE,BOUND,HP turbine admission valve
HP-FW-ISO-VLV,HP FW ISO VALVE,HP_FW_ISO_VLV,PLANT_OVERVIEW,HP_FW_ISO_VLV,,,topology/valves/hp-fw-iso-vlv.svg,VALVE,BOUND,HP BFP discharge isolation valve
IP-FW-ISO-VLV,IP FW ISO VALVE,IP_FW_ISO_VLV,PLANT_OVERVIEW,IP_FW_ISO_VLV,,,topology/valves/ip-fw-iso-vlv.svg,VALVE,BOUND,IP BFP discharge isolation valve
IP-TURB-ADM-VLV,IP TURB ADM VALVE,IP_TURB_ADM_VLV,PLANT_OVERVIEW,IP_TURB_ADM_VLV,,,topology/valves/ip-turb-adm-vlv.svg,VALVE,BOUND,IP turbine admission valve
HP-FEEDWATER,HP FEEDWATER,HP FW,PLANT_OVERVIEW,HP_FEEDWATER,,,,PROCESS_PATH,BOUND,HP feedwater path
IP-FEEDWATER,IP FEEDWATER,IP FW,PLANT_OVERVIEW,IP_FEEDWATER,,,,PROCESS_PATH,BOUND,IP feedwater path
LP-FEEDWATER,LP FEEDWATER,LP FW,PLANT_OVERVIEW,LP_FEEDWATER,,,,PROCESS_PATH,BOUND,LP feedwater path
HP-DRUM,HP DRUM,HP_DRUM,PLANT_OVERVIEW,HP_DRUM,,,,VESSEL,BOUND,HP HRSG drum
IP-DRUM,IP DRUM,IP_DRUM,PLANT_OVERVIEW,IP_DRUM,,,,VESSEL,BOUND,IP HRSG drum
LP-DRUM,LP DRUM,LP_DRUM,PLANT_OVERVIEW,LP_DRUM,,,,VESSEL,BOUND,LP HRSG drum
GT-EXHAUST,GT EXHAUST,GT_EXHAUST,PLANT_OVERVIEW,GT_EXHAUST,,,,PROCESS_PATH,BOUND,GT exhaust into HRSG
HP-TURBINE,HP TURBINE,HP TURB,PLANT_OVERVIEW,HP_TURBINE,,,,TURBINE,BOUND,HP steam turbine
IP-TURBINE,IP TURBINE,IP TURB,PLANT_OVERVIEW,IP_TURBINE,,,,TURBINE,BOUND,IP steam turbine
LP-TURBINE,LP TURBINE,LP TURB,PLANT_OVERVIEW,LP_TURBINE,,,,TURBINE,BOUND,LP steam turbine
