logic_version,rule_id,enabled,system,logic_kind,source_signal,logic_signal,model_state_candidates,model_value_candidates,active_when,alarm_tag,description_ko,direction,threshold_mode,threshold_value,hysteresis_value,delay_s,event_class,severity,priority,display_color,unit,status,calibration_basis
VPP-LOGIC-DRAFT-2026-09-09,D1-001,1,DCS1,BOOLEAN,gt_trip_cmd,gt_trip_cmd,alarmRuntime.alarm_D1_001|alarmRuntime.boolean_D1_001.active,alarmRuntime.gt_trip_cmd|alarmRuntime.alarm_D1_001,TRUE,GT.TRIP.CMD,GT 트립 명령 입력,HIGH,BOOLEAN,1,0,0,TRIP,TRIP,P1,#D71920,BOOL,PROVISIONAL_NOT_PLANT_APPROVED,Current direct command contract
VPP-LOGIC-DRAFT-2026-09-09,D1-010,1,DCS1,ANALOG,gt_exhaust_mass_flow_kg_s,,alarmRuntime.alarm_D1_010|alarmRuntime.analog_D1_010.active,alarmRuntime.gt_exhaust_mass_flow_kg_s|Debit.y.signal,TRUE,GT.EXHAUST.FLOW.L,GT 배기가스 유량 저,LOW,ABSOLUTE,545,6,0.2,PROCESS_ALARM,WARNING,P3,#FACC15,kg/s,PROVISIONAL_NOT_PLANT_APPROVED,607 kg/s model nominal
VPP-LOGIC-DRAFT-2026-09-09,D1-011,1,DCS1,ANALOG,gt_exhaust_mass_flow_kg_s,,alarmRuntime.alarm_D1_011|alarmRuntime.analog_D1_011.active,alarmRuntime.gt_exhaust_mass_flow_kg_s|Debit.y.signal,TRUE,GT.EXHAUST.FLOW.LL,GT 배기가스 유량 저저,LOW,ABSOLUTE,300,6,0.2,PROCESS_ALARM,CRITICAL,P2,#F97316,kg/s,PROVISIONAL_NOT_PLANT_APPROVED,607 kg/s model nominal
VPP-LOGIC-DRAFT-2026-09-09,D1-020,1,DCS1,ANALOG,gt_exhaust_temperature_k,,alarmRuntime.alarm_D1_020|alarmRuntime.analog_D1_020.active,alarmRuntime.gt_exhaust_temperature_k|Temperature.y.signal,TRUE,GT.EXHAUST.TEMP.L,GT 배기가스 온도 저,LOW,ABSOLUTE,805,5,0.2,PROCESS_ALARM,WARNING,P3,#FACC15,K,PROVISIONAL_NOT_PLANT_APPROVED,893.75 K model nominal
VPP-LOGIC-DRAFT-2026-09-09,D1-021,1,DCS1,ANALOG,gt_exhaust_temperature_k,,alarmRuntime.alarm_D1_021|alarmRuntime.analog_D1_021.active,alarmRuntime.gt_exhaust_temperature_k|Temperature.y.signal,TRUE,GT.EXHAUST.TEMP.LL,GT 배기가스 온도 저저,LOW,ABSOLUTE,580,5,0.2,PROCESS_ALARM,CRITICAL,P2,#F97316,K,PROVISIONAL_NOT_PLANT_APPROVED,893.75 K model nominal
VPP-LOGIC-DRAFT-2026-09-09,D1-030,1,DCS1,ANALOG,stg_power_w,,alarmRuntime.alarm_D1_030|alarmRuntime.analog_D1_030.active,alarmRuntime.stg_power_w|Alternateur.Welec,TRUE,STG.POWER.L,증기터빈 발전출력 저,LOW,ABSOLUTE,225000000,5000000,0.2,PROCESS_ALARM,WARNING,P3,#FACC15,W,PROVISIONAL_NOT_PLANT_APPROVED,250 MW model reference
VPP-LOGIC-DRAFT-2026-09-09,D1-031,1,DCS1,ANALOG,stg_power_w,,alarmRuntime.alarm_D1_031|alarmRuntime.analog_D1_031.active,alarmRuntime.stg_power_w|Alternateur.Welec,TRUE,STG.POWER.LL,증기터빈 발전출력 저저,LOW,ABSOLUTE,150000000,5000000,0.2,PROCESS_ALARM,CRITICAL,P2,#F97316,W,PROVISIONAL_NOT_PLANT_APPROVED,250 MW model reference
VPP-LOGIC-DRAFT-2026-09-09,D2-101,1,DCS2,ANALOG,hp_drum_level_m,,alarmRuntime.alarm_D2_101|alarmRuntime.analog_D2_101.active,alarmRuntime.hp_drum_level_m|BallonHP.yLevel.signal,TRUE,HRSG.HP.DRUM.LEVEL.H,HP 드럼 수위 고,HIGH,ABSOLUTE,1.15,0.02,0.5,PROCESS_ALARM,WARNING,P3,#FACC15,m,PROVISIONAL_NOT_PLANT_APPROVED,1050 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-102,1,DCS2,ANALOG,hp_drum_level_m,hp_drum_level_hh,alarmRuntime.alarm_D2_102|alarmRuntime.analog_D2_102.active,alarmRuntime.hp_drum_level_m|BallonHP.yLevel.signal,TRUE,HRSG.HP.DRUM.LEVEL.HH,HP 드럼 수위 고고,HIGH,ABSOLUTE,1.25,0.02,0.5,PROCESS_ALARM,CRITICAL,P2,#F97316,m,PROVISIONAL_NOT_PLANT_APPROVED,1050 mm model nominal
VPP-LOGIC-DRAFT-2026-09-09,D2-103,1,DCS2,ANALOG,hp_drum_level_m,,alarmRuntime.alarm_D2_103|alarmRuntime.analog_D2_103.active,alarmRuntime.hp_drum_level_m|BallonHP.yLevel.signal,TRUE,HRSG.HP.DRUM.LEVEL.L,HP 드럼 수위 저,LOW,ABSOLUTE,0.95,0.02,0.5,PROCESS_ALARM,WARNING,P3,#FACC15,m,PROVISIONAL_NOT_PLANT_APPROVED,1050 mm model nominal
