canonical_tag,owner,layer,direction,opcua_browse_name,data_type,semantic_type,unit,control_point_id,role,model_binding,writable,implementation_status,description_ko
CMD.VLV.HP_FWCV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvHPFWCVModeAutoNative,Real,Boolean,BOOL,HP_FWCV,AUTO_MAN_SELECT,vppVlvHPFWCVModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.HP_FWCV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvHPFWCVManualCmdNative,Real,Real,pu,HP_FWCV,MANUAL_COMMAND,vppVlvHPFWCVManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.HP_FWCV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvHPFWCVFaultEnableNative,Real,Boolean,BOOL,HP_FWCV,FAULT_ENABLE,vppVlvHPFWCVFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.HP_FWCV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvHPFWCVFaultValueNative,Real,Real,pu,HP_FWCV,FAULT_FORCED_VALUE,vppVlvHPFWCVFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.HP_FWCV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvHPFWCVAutoCmd,Real,Real,pu,HP_FWCV,AUTOMATIC_COMMAND,regulation_Niveau_HP.SortieReelle1,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.HP_FWCV.CMD,OpenModelica,PHYSICAL,READ,vppVlvHPFWCVCmd,Real,Real,pu,HP_FWCV,SELECTED_COMMAND,vppVlvHPFWCVCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.HP_FWCV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvHPFWCVFb,Real,Real,pu,HP_FWCV,APPLIED_POSITION,vanne_alimentationHP.Cv/vanne_alimentationHP.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.HP_FWCV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvHPFWCVDeviation,Real,Real,pu,HP_FWCV,COMMAND_FEEDBACK_DEVIATION,vppVlvHPFWCVCmd-vppVlvHPFWCVFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.HP_FWCV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvHPFWCVFaultActive,Boolean,Boolean,BOOL,HP_FWCV,FAULT_STATUS,vppVlvHPFWCVFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.HP_FWCV.CV,OpenModelica,PHYSICAL,READ,vppVlvHPFWCVCv,Real,Real,Cv,HP_FWCV,SOLVED_CV,vanne_alimentationHP.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.HP_FWCV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvHPFWCVMassFlowTH,Real,Real,t/h,HP_FWCV,SOLVED_MASS_FLOW,3.6*(vanne_alimentationHP.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.HP_FWCV.DP,OpenModelica,PHYSICAL,READ,vppVlvHPFWCVDPPa,Real,Real,Pa,HP_FWCV,SOLVED_PRESSURE_DROP,vanne_alimentationHP.C1.P-vanne_alimentationHP.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.HP_STEAM_VLV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvHPSteamModeAutoNative,Real,Boolean,BOOL,HP_STEAM_VLV,AUTO_MAN_SELECT,vppVlvHPSteamModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.HP_STEAM_VLV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvHPSteamManualCmdNative,Real,Real,pu,HP_STEAM_VLV,MANUAL_COMMAND,vppVlvHPSteamManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.HP_STEAM_VLV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvHPSteamFaultEnableNative,Real,Boolean,BOOL,HP_STEAM_VLV,FAULT_ENABLE,vppVlvHPSteamFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.HP_STEAM_VLV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvHPSteamFaultValueNative,Real,Real,pu,HP_STEAM_VLV,FAULT_FORCED_VALUE,vppVlvHPSteamFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.HP_STEAM_VLV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvHPSteamAutoCmd,Real,Real,pu,HP_STEAM_VLV,AUTOMATIC_COMMAND,constante_vanne_vapeurHP.y.signal,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.HP_STEAM_VLV.CMD,OpenModelica,PHYSICAL,READ,vppVlvHPSteamCmd,Real,Real,pu,HP_STEAM_VLV,SELECTED_COMMAND,vppVlvHPSteamCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.HP_STEAM_VLV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvHPSteamFb,Real,Real,pu,HP_STEAM_VLV,APPLIED_POSITION,vanne_vapeurHP.Cv/vanne_vapeurHP.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
