connection_id,domain,route,source_component,source_port,destination_component,destination_port,medium,modelica_evidence,diagram_required,status,notes
P-HP-01,PROCESS,HP_MAIN,DoubleDebitHP,Cs,vppHPSplitter,Ce,MAIN_STEAM,"connect(DoubleDebitHP.Cs, vppHPSplitter.Ce);",1,MODEL_BOUND,HP main-steam take-off enters the VPP splitter
P-HP-02,PROCESS,HP_TURBINE,vppHPSplitter,Cs1,vanne_entree_TurbineHP,C1,MAIN_STEAM,"connect(vppHPSplitter.Cs1, vanne_entree_TurbineHP.C1);",1,MODEL_BOUND,Normal HP turbine admission path
P-HP-03,PROCESS,HP_BYPASS,vppHPSplitter,Cs2,vppHPBypassValve,C1,MAIN_STEAM,"connect(vppHPSplitter.Cs2, vppHPBypassValve.C1);",1,MODEL_BOUND,HP bypass branch upstream of HP turbine
P-HP-04,PROCESS,HP_BYPASS,vppHPBypassValve,C2,vppHPColdReheatVolume,Ce2,HP_BYPASS_STEAM,"connect(vppHPBypassValve.C2, vppHPColdReheatVolume.Ce2);",1,MODEL_BOUND,HPBP discharge to cold-reheat mixing header
P-HP-05,PROCESS,HP_SPRAY,vppHPSpraySource,C,vppHPColdReheatVolume,Ce3,SPRAY_WATER,"connect(vppHPSpraySource.C, vppHPColdReheatVolume.Ce3);",1,MODEL_BOUND,HPBP desuperheating-water injection
P-HP-06,PROCESS,HP_EXHAUST,TurbineHP,Cs,vppHPColdReheatVolume,Ce1,COLD_REHEAT,"connect(TurbineHP.Cs, vppHPColdReheatVolume.Ce1);",1,MODEL_BOUND,HP turbine exhaust enters cold-reheat mixing header
P-HP-07,PROCESS,COLD_REHEAT,vppHPColdReheatVolume,Cs,MoitieDebitHP,Ce,COLD_REHEAT,"connect(vppHPColdReheatVolume.Cs, MoitieDebitHP.Ce);",1,MODEL_BOUND,Combined cold-reheat stream returns to inherited reheater path
P-LP-01,PROCESS,HOT_REHEAT,DoubleDebitMP,Cs,vppLPSplitter,Ce,HOT_REHEAT,"connect(DoubleDebitMP.Cs, vppLPSplitter.Ce);",1,MODEL_BOUND,Hot-reheat take-off enters the VPP splitter
P-LP-02,PROCESS,IP_TURBINE,vppLPSplitter,Cs1,vanne_entree_TurbineMP,C1,HOT_REHEAT,"connect(vppLPSplitter.Cs1, vanne_entree_TurbineMP.C1);",1,MODEL_BOUND,Normal IP and LP turbine-train admission path
P-LP-03,PROCESS,LP_BYPASS,vppLPSplitter,Cs2,vppLPBypassValve,C1,HOT_REHEAT,"connect(vppLPSplitter.Cs2, vppLPBypassValve.C1);",1,MODEL_BOUND,LPBP branches from hot reheat and bypasses IP plus LP turbines
