tag_id,platform,system,subsystem,equipment_id,equipment_type,signal_name,description_ko,io_type,data_type,unit,tag_class,value_basis,limit_basis,model_mapping,normal_or_initial,alarm_limits,trip_or_event_logic,priority,sample_ms,editable,gt_trip_behavior,source_url,notes
TSP.SYS.MODEL_TRAIN_COUNT,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,MODEL_TRAIN_COUNT,모델링 Train 수,CALC,INT,count,M,M,A,,1,USER_EDIT,,INFO,1000,Y,constant,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,TripLens alias
TSP.SYS.PLANT_GT_COUNT_REF,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,PLANT_GT_COUNT_REF,실제 발전소 GT 수 공개 참조,CALC,INT,count,M,M,A,,2,USER_EDIT,,INFO,1000,Y,constant,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,TripLens alias
TSP.FG_IN.TEMP_IN,Thermo VPP,FG,FLUE_GAS_BOUNDARY,FG-SRC-001,Source/Sink Boundary,TEMP_IN,HRSG 입구 배기가스 온도,AI,REAL,K,M,M,A,GasTurbineTrip.flueGasBoundary.temp_in,894,N/A,,INFO,100,N,423 K over 600 s,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,공개 모델값의 TripLens alias
TSP.FG_IN.MASS_FLOW_IN,Thermo VPP,FG,FLUE_GAS_BOUNDARY,FG-SRC-001,Source/Sink Boundary,MASS_FLOW_IN,HRSG 입구 배기가스 질량유량,AI,REAL,t/h,M,M,A,vppGTExhaustMassFlowTH,2185.2,N/A,,INFO,100,N,180 t/h over 600 s,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,공개 모델값의 TripLens alias; Published mass-flow boundary uses t/h with exact ×3.6 conversion.
TSP.FG_IN.PRESS_IN,Thermo VPP,FG,FLUE_GAS_BOUNDARY,FG-SRC-001,Source/Sink Boundary,PRESS_IN,HRSG 입구 배기가스 압력,AI,REAL,Pa,M,M,A,GasTurbineTrip.flueGasBoundary.press_in,USER_EDIT,N/A,,INFO,100,N,decreases with boundary,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,공개 모델값의 TripLens alias
TSP.FG_IN.SPEC_ENTHALPY_IN,Thermo VPP,FG,FLUE_GAS_BOUNDARY,FG-SRC-001,Source/Sink Boundary,SPEC_ENTHALPY_IN,HRSG 입구 배기가스 비엔탈피,AI,REAL,J/kg,M,M,A,GasTurbineTrip.flueGasBoundary.spec_enthalpy_in,MODEL,N/A,,INFO,100,N,decreases,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,공개 모델값의 TripLens alias
TSP.FG_IN.TEMP_OUT,Thermo VPP,FG,FLUE_GAS_BOUNDARY,FG-SRC-001,Source/Sink Boundary,TEMP_OUT,Stack 배기가스 온도,AI,REAL,K,M,M,A,GasTurbineTrip.flueGasBoundary.temp_out,MODEL,N/A,,INFO,100,N,decreases after delay,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,공개 모델값의 TripLens alias
TSP.FG_IN.MASS_FLOW_OUT,Thermo VPP,FG,FLUE_GAS_BOUNDARY,FG-SRC-001,Source/Sink Boundary,MASS_FLOW_OUT,Stack 배기가스 질량유량,AI,REAL,t/h,M,M,A,GasTurbineTrip.flueGasBoundary.mass_flow_out,MODEL,N/A,,INFO,100,N,tracks inlet,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,공개 모델값의 TripLens alias; Published mass-flow boundary uses t/h with exact ×3.6 conversion.
TSP.FG_IN.PRESS_OUT,Thermo VPP,FG,FLUE_GAS_BOUNDARY,FG-SRC-001,Source/Sink Boundary,PRESS_OUT,Stack 배기가스 압력,AI,REAL,Pa,M,M,A,GasTurbineTrip.flueGasBoundary.press_out,MODEL,N/A,,INFO,100,N,tracks sink boundary,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,공개 모델값의 TripLens alias
TSP.HRSG.SH-01.Q_THERMAL,Thermo VPP,HRSG,HP_SUPERHEATER,A-SH-01,SUPERHEATER,Q_THERMAL,HP 열교환 열량,AI,REAL,W,M,M,A,DynamicExchangerWaterSteamFlueGases.q_thermal,MODEL,N/A,,INFO,500,N,decreases with thermal lag,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,HX count [M]; exact SH-01 allocation/order [A]
