rule_id,system,source_signal,alarm_tag,description_ko,direction,threshold_mode,threshold_value,hysteresis_value,delay_s,severity,unit,status,calibration_basis
D1-001,DCS1,gt_trip_cmd,GT.TRIP.CMD,GT 트립 명령 입력,HIGH,BOOLEAN,1,0,0,TRIP,BOOL,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,Scenario command
D1-010,DCS1,gt_exhaust_mass_flow_kg_s,GT.EXHAUST.FLOW.L,GT 배기가스 유량 저,LOW,ABSOLUTE,545,6,0.2,WARNING,kg/s,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,607 kg/s model nominal
D1-011,DCS1,gt_exhaust_mass_flow_kg_s,GT.EXHAUST.FLOW.LL,GT 배기가스 유량 저저,LOW,ABSOLUTE,300,6,0.2,CRITICAL,kg/s,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,607 kg/s model nominal
D1-020,DCS1,gt_exhaust_temperature_k,GT.EXHAUST.TEMP.L,GT 배기가스 온도 저,LOW,ABSOLUTE,805,5,0.2,WARNING,K,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,893.75 K model nominal
D1-021,DCS1,gt_exhaust_temperature_k,GT.EXHAUST.TEMP.LL,GT 배기가스 온도 저저,LOW,ABSOLUTE,580,5,0.2,CRITICAL,K,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,893.75 K model nominal
D1-030,DCS1,stg_power_w,STG.POWER.L,증기터빈 발전출력 저,LOW,ABSOLUTE,225000000,5000000,0.2,WARNING,W,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,250 MW model reference
D1-031,DCS1,stg_power_w,STG.POWER.LL,증기터빈 발전출력 저저,LOW,ABSOLUTE,150000000,5000000,0.2,CRITICAL,W,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,250 MW model reference
D1-032,DCS1,stg_power_w,STG.POWER.TRIP,증기터빈 발전출력 트립 수준,LOW,ABSOLUTE,50000000,5000000,0.2,TRIP,W,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,250 MW model reference
D2-101,DCS2,hp_drum_level_m,HRSG.HP.DRUM.LEVEL.H,HP 드럼 수위 고,HIGH,ABSOLUTE,1.15,0.02,0.5,WARNING,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1050 mm model nominal
D2-102,DCS2,hp_drum_level_m,HRSG.HP.DRUM.LEVEL.HH,HP 드럼 수위 고고,HIGH,ABSOLUTE,1.25,0.02,0.5,CRITICAL,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1050 mm model nominal
D2-103,DCS2,hp_drum_level_m,HRSG.HP.DRUM.LEVEL.L,HP 드럼 수위 저,LOW,ABSOLUTE,0.95,0.02,0.5,WARNING,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1050 mm model nominal
D2-104,DCS2,hp_drum_level_m,HRSG.HP.DRUM.LEVEL.LL,HP 드럼 수위 저저,LOW,ABSOLUTE,0.85,0.02,0.5,CRITICAL,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1050 mm model nominal
D2-111,DCS2,ip_drum_level_m,HRSG.IP.DRUM.LEVEL.H,IP 드럼 수위 고,HIGH,ABSOLUTE,1.15,0.02,0.5,WARNING,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1050 mm model nominal
D2-112,DCS2,ip_drum_level_m,HRSG.IP.DRUM.LEVEL.HH,IP 드럼 수위 고고,HIGH,ABSOLUTE,1.25,0.02,0.5,CRITICAL,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1050 mm model nominal
D2-113,DCS2,ip_drum_level_m,HRSG.IP.DRUM.LEVEL.L,IP 드럼 수위 저,LOW,ABSOLUTE,0.95,0.02,0.5,WARNING,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1050 mm model nominal
D2-114,DCS2,ip_drum_level_m,HRSG.IP.DRUM.LEVEL.LL,IP 드럼 수위 저저,LOW,ABSOLUTE,0.85,0.02,0.5,CRITICAL,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1050 mm model nominal
D2-121,DCS2,lp_drum_level_m,HRSG.LP.DRUM.LEVEL.H,LP 드럼 수위 고,HIGH,ABSOLUTE,1.85,0.02,0.5,WARNING,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1750 mm model nominal
D2-122,DCS2,lp_drum_level_m,HRSG.LP.DRUM.LEVEL.HH,LP 드럼 수위 고고,HIGH,ABSOLUTE,1.95,0.02,0.5,CRITICAL,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1750 mm model nominal
D2-123,DCS2,lp_drum_level_m,HRSG.LP.DRUM.LEVEL.L,LP 드럼 수위 저,LOW,ABSOLUTE,1.65,0.02,0.5,WARNING,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1750 mm model nominal
D2-124,DCS2,lp_drum_level_m,HRSG.LP.DRUM.LEVEL.LL,LP 드럼 수위 저저,LOW,ABSOLUTE,1.55,0.02,0.5,CRITICAL,m,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,1750 mm model nominal
D2-201,DCS2,hp_drum_pressure_pa,HRSG.HP.DRUM.PRESS.L,HP 드럼 압력 저,LOW,ABSOLUTE,12000000,200000,0.5,WARNING,Pa,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,12.726 MPa model nominal
D2-202,DCS2,hp_drum_pressure_pa,HRSG.HP.DRUM.PRESS.LL,HP 드럼 압력 저저,LOW,ABSOLUTE,10800000,200000,0.5,CRITICAL,Pa,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,12.726 MPa model nominal
D2-211,DCS2,ip_drum_pressure_pa,HRSG.IP.DRUM.PRESS.L,IP 드럼 압력 저,LOW,ABSOLUTE,2550000,50000,0.5,WARNING,Pa,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,2.734 MPa model nominal
D2-212,DCS2,ip_drum_pressure_pa,HRSG.IP.DRUM.PRESS.LL,IP 드럼 압력 저저,LOW,ABSOLUTE,2300000,50000,0.5,CRITICAL,Pa,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,2.734 MPa model nominal
D2-221,DCS2,lp_drum_pressure_pa,HRSG.LP.DRUM.PRESS.L,LP 드럼 압력 저,LOW,ABSOLUTE,500000,10000,0.5,WARNING,Pa,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,0.536 MPa model nominal
D2-222,DCS2,lp_drum_pressure_pa,HRSG.LP.DRUM.PRESS.LL,LP 드럼 압력 저저,LOW,ABSOLUTE,450000,10000,0.5,CRITICAL,Pa,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,0.536 MPa model nominal
D2-301,DCS2,hp_steam_flow_kg_s,HRSG.HP.STEAM.FLOW.L,HP 증기 유량 저,LOW,ABSOLUTE,135,3,0.2,WARNING,kg/s,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,151.769 kg/s model nominal
D2-302,DCS2,hp_steam_flow_kg_s,HRSG.HP.STEAM.FLOW.LL,HP 증기 유량 저저,LOW,ABSOLUTE,90,3,0.2,CRITICAL,kg/s,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,151.769 kg/s model nominal
D2-311,DCS2,ip_steam_flow_kg_s,HRSG.IP.STEAM.FLOW.L,IP 증기 유량 저,LOW,ABSOLUTE,160,3,0.2,WARNING,kg/s,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,176.789 kg/s model nominal
D2-312,DCS2,ip_steam_flow_kg_s,HRSG.IP.STEAM.FLOW.LL,IP 증기 유량 저저,LOW,ABSOLUTE,105,3,0.2,CRITICAL,kg/s,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,176.789 kg/s model nominal
D2-321,DCS2,lp_steam_flow_kg_s,HRSG.LP.STEAM.FLOW.L,LP 증기 유량 저,LOW,ABSOLUTE,175,3,0.2,WARNING,kg/s,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,196.653 kg/s model nominal
