index,logic_id,logic_type,group,logic_name,tag_id,event_tag,source_node,condition,status,verification_status,linked_tag_ids,output_nodes_or_tags
0,AL-GT-FLOW-L,ALARM,GT Exhaust,GT exhaust flow low,GT.EXHAUST.FLOW.L,GT.EXHAUST.FLOW.L,vppGTExhaustMassFlowState,value < 545 kg/s,ACTIVE,LIVE_OPCUA_VALIDATED,vppGTExhaustMassFlowState;GT.EXHAUST.FLOW.L,GT.EXHAUST.FLOW.L
1,AL-GT-FLOW-LL,ALARM,GT Exhaust,GT exhaust flow low-low,GT.EXHAUST.FLOW.LL,GT.EXHAUST.FLOW.LL,vppGTExhaustMassFlowState,value < 300 kg/s,ACTIVE,LIVE_OPCUA_VALIDATED,vppGTExhaustMassFlowState;GT.EXHAUST.FLOW.LL,GT.EXHAUST.FLOW.LL
2,AL-GT-TEMP-L,ALARM,GT Exhaust,GT exhaust temperature low,GT.EXHAUST.TEMP.L,GT.EXHAUST.TEMP.L,vppGTExhaustTemperatureK,value < 805 K,ACTIVE,LIVE_OPCUA_VALIDATED,vppGTExhaustTemperatureK;GT.EXHAUST.TEMP.L,GT.EXHAUST.TEMP.L
3,AL-GT-TEMP-LL,ALARM,GT Exhaust,GT exhaust temperature low-low,GT.EXHAUST.TEMP.LL,GT.EXHAUST.TEMP.LL,vppGTExhaustTemperatureK,value < 580 K,ACTIVE,LIVE_OPCUA_VALIDATED,vppGTExhaustTemperatureK;GT.EXHAUST.TEMP.LL,GT.EXHAUST.TEMP.LL
4,AL-HP-LEVEL-H,ALARM,HP Drum,HP drum level H,HRSG.HP.DRUM.LEVEL.H,HRSG.HP.DRUM.LEVEL.H,vppHPDrumLevelM,value > 1.15 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPDrumLevelM;HRSG.HP.DRUM.LEVEL.H,HRSG.HP.DRUM.LEVEL.H
5,AL-HP-LEVEL-HH,ALARM,HP Drum,HP drum level HH,HRSG.HP.DRUM.LEVEL.HH,HRSG.HP.DRUM.LEVEL.HH,vppHPDrumLevelM,value > 1.25 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPDrumLevelM;HRSG.HP.DRUM.LEVEL.HH,HRSG.HP.DRUM.LEVEL.HH
6,AL-HP-LEVEL-L,ALARM,HP Drum,HP drum level L,HRSG.HP.DRUM.LEVEL.L,HRSG.HP.DRUM.LEVEL.L,vppHPDrumLevelM,value < 0.95 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPDrumLevelM;HRSG.HP.DRUM.LEVEL.L,HRSG.HP.DRUM.LEVEL.L
7,AL-HP-LEVEL-LL,ALARM,HP Drum,HP drum level LL,HRSG.HP.DRUM.LEVEL.LL,HRSG.HP.DRUM.LEVEL.LL,vppHPDrumLevelM,value < 0.85 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPDrumLevelM;HRSG.HP.DRUM.LEVEL.LL,HRSG.HP.DRUM.LEVEL.LL
8,AL-HP-PRESS-L,ALARM,HP Drum,HP drum pressure L,HRSG.HP.DRUM.PRESS.L,HRSG.HP.DRUM.PRESS.L,vppHPDrumPressurePa,value < 12000000 Pa,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPDrumPressurePa;HRSG.HP.DRUM.PRESS.L,HRSG.HP.DRUM.PRESS.L
9,AL-HP-PRESS-LL,ALARM,HP Drum,HP drum pressure LL,HRSG.HP.DRUM.PRESS.LL,HRSG.HP.DRUM.PRESS.LL,vppHPDrumPressurePa,value < 10800000 Pa,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPDrumPressurePa;HRSG.HP.DRUM.PRESS.LL,HRSG.HP.DRUM.PRESS.LL
10,AL-HP-FLOW-L,ALARM,HP Steam Flow,HP turbine steam flow L,HRSG.HP.STEAM.FLOW.L,HRSG.HP.STEAM.FLOW.L,vppHPTurbineSteamFlowTH,value < 486 t/h,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPTurbineSteamFlowTH;HRSG.HP.STEAM.FLOW.L,HRSG.HP.STEAM.FLOW.L
11,AL-HP-FLOW-LL,ALARM,HP Steam Flow,HP turbine steam flow LL,HRSG.HP.STEAM.FLOW.LL,HRSG.HP.STEAM.FLOW.LL,vppHPTurbineSteamFlowTH,value < 324 t/h,ACTIVE,LIVE_OPCUA_VALIDATED,vppHPTurbineSteamFlowTH;HRSG.HP.STEAM.FLOW.LL,HRSG.HP.STEAM.FLOW.LL
12,AL-IP-LEVEL-H,ALARM,IP Drum,IP drum level H,HRSG.IP.DRUM.LEVEL.H,HRSG.IP.DRUM.LEVEL.H,vppIPDrumLevelM,value > 1.15 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPDrumLevelM;HRSG.IP.DRUM.LEVEL.H,HRSG.IP.DRUM.LEVEL.H
13,AL-IP-LEVEL-HH,ALARM,IP Drum,IP drum level HH,HRSG.IP.DRUM.LEVEL.HH,HRSG.IP.DRUM.LEVEL.HH,vppIPDrumLevelM,value > 1.25 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPDrumLevelM;HRSG.IP.DRUM.LEVEL.HH,HRSG.IP.DRUM.LEVEL.HH
14,AL-IP-LEVEL-L,ALARM,IP Drum,IP drum level L,HRSG.IP.DRUM.LEVEL.L,HRSG.IP.DRUM.LEVEL.L,vppIPDrumLevelM,value < 0.95 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPDrumLevelM;HRSG.IP.DRUM.LEVEL.L,HRSG.IP.DRUM.LEVEL.L
15,AL-IP-LEVEL-LL,ALARM,IP Drum,IP drum level LL,HRSG.IP.DRUM.LEVEL.LL,HRSG.IP.DRUM.LEVEL.LL,vppIPDrumLevelM,value < 0.85 m,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPDrumLevelM;HRSG.IP.DRUM.LEVEL.LL,HRSG.IP.DRUM.LEVEL.LL
16,AL-IP-PRESS-L,ALARM,IP Drum,IP drum pressure L,HRSG.IP.DRUM.PRESS.L,HRSG.IP.DRUM.PRESS.L,vppIPDrumPressurePa,value < 2550000 Pa,ACTIVE,LIVE_OPCUA_VALIDATED,vppIPDrumPressurePa;HRSG.IP.DRUM.PRESS.L,HRSG.IP.DRUM.PRESS.L
