order,rule_id,enabled,source_signal,edge,tag,event_type,state,severity,priority,message_ko,logic_status
10,FWP-HP-001,1,FWP_HP_RUN_REQUEST,RISING,ECMS.FWP-HP.RUN.REQUEST,COMMAND,ACTIVE,INFO,P4,FWP-HP 운전 요청 입력,RND_VALIDATED_NOT_PLANT_APPROVED
11,FWP-HP-002,1,FWP_HP_RUN_REQUEST,FALLING,ECMS.FWP-HP.RUN.REQUEST,COMMAND,INACTIVE,INFO,P4,FWP-HP 정상 정지 요청 입력,RND_VALIDATED_NOT_PLANT_APPROVED
20,FWP-HP-003,1,FWP_HP_TRIP_REQUEST,RISING,ECMS.FWP-HP.TRIP.REQUEST,TRIP,ACTIVE,TRIP,P1,FWP-HP 트립 요청 입력,RND_VALIDATED_NOT_PLANT_APPROVED
30,FWP-HP-004,1,FWP_HP_RESET_REQUEST,RISING,ECMS.FWP-HP.RESET.REQUEST,COMMAND,ACTIVE,INFO,P4,FWP-HP 트립 리셋 요청 입력,RND_VALIDATED_NOT_PLANT_APPROVED
40,FWP-HP-005,1,VCB_A01_RECLOSE_CMD,RISING,ECMS.VCB-A01.RECLOSE.CMD,COMMAND,ACTIVE,INFO,P4,VCB-A01 재투입 명령 입력,RND_VALIDATED_NOT_PLANT_APPROVED
50,FWP-HP-006,1,FWP_HP_RUN_ENABLE_CMD,RISING,ECMS.FWP-HP.RUN.ENABLE,STATE,ACTIVE,INFO,P4,FWP-HP 운전 허용 성립,RND_VALIDATED_NOT_PLANT_APPROVED
51,FWP-HP-007,1,FWP_HP_RUN_ENABLE_CMD,FALLING,ECMS.FWP-HP.RUN.ENABLE,STATE,INACTIVE,WARNING,P3,FWP-HP 운전 허용 해제,RND_VALIDATED_NOT_PLANT_APPROVED
60,FWP-HP-008,1,FWP_HP_TRIP_LATCHED,RISING,ECMS.FWP-HP.TRIP.LATCHED,TRIP,ACTIVE,TRIP,P1,FWP-HP 트립 래치 동작,RND_VALIDATED_NOT_PLANT_APPROVED
61,FWP-HP-009,1,FWP_HP_TRIP_LATCHED,FALLING,ECMS.FWP-HP.TRIP.LATCHED,RETURN,CLEARED,INFO,P4,FWP-HP 트립 래치 리셋,RND_VALIDATED_NOT_PLANT_APPROVED
70,FWP-HP-010,1,VCB_A01_TRIP_CMD,RISING,ECMS.VCB-A01.TRIP.CMD,TRIP,ACTIVE,TRIP,P1,VCB-A01 트립 명령 출력,RND_VALIDATED_NOT_PLANT_APPROVED
71,FWP-HP-011,1,VCB_A01_TRIP_CMD,FALLING,ECMS.VCB-A01.TRIP.CMD,RETURN,CLEARED,INFO,P4,VCB-A01 트립 명령 복귀,RND_VALIDATED_NOT_PLANT_APPROVED
80,FWP-HP-012,1,VCB_A01_CLOSED,FALLING,ECMS.VCB-A01.CLOSED,BREAKER,OPEN,TRIP,P1,VCB-A01 개방,RND_VALIDATED_NOT_PLANT_APPROVED
81,FWP-HP-013,1,VCB_A01_CLOSED,RISING,ECMS.VCB-A01.CLOSED,BREAKER,CLOSED,INFO,P4,VCB-A01 투입,RND_VALIDATED_NOT_PLANT_APPROVED
90,FWP-HP-014,1,FWP_HP_RUNNING,RISING,ECMS.FWP-HP.RUNNING,STATE,ACTIVE,INFO,P4,FWP-HP 운전 상태 성립,RND_VALIDATED_NOT_PLANT_APPROVED
91,FWP-HP-015,1,FWP_HP_RUNNING,FALLING,ECMS.FWP-HP.RUNNING,STATE,INACTIVE,WARNING,P3,FWP-HP 운전 상태 해제,RND_VALIDATED_NOT_PLANT_APPROVED
100,FWP-HP-016,1,FWP_HP_TRIPPED,RISING,ECMS.FWP-HP.TRIPPED,TRIP,ACTIVE,TRIP,P1,FWP-HP 트립 상태 진입,RND_VALIDATED_NOT_PLANT_APPROVED
101,FWP-HP-017,1,FWP_HP_TRIPPED,FALLING,ECMS.FWP-HP.TRIPPED,RETURN,CLEARED,INFO,P4,FWP-HP 트립 상태 복귀,RND_VALIDATED_NOT_PLANT_APPROVED
110,FWP-HP-018,1,FWP_HP_RUN_FB,RISING,ECMS.FWP-HP.RUN.FB,STATE,RUNNING,INFO,P4,FWP-HP 운전 피드백 성립,RND_VALIDATED_NOT_PLANT_APPROVED
111,FWP-HP-019,1,FWP_HP_RUN_FB,FALLING,ECMS.FWP-HP.RUN.FB,STATE,STOPPED,WARNING,P3,FWP-HP 운전 피드백 상실,RND_VALIDATED_NOT_PLANT_APPROVED
120,FWP-HP-020,1,FWP_HP_SPEED_PROVEN,RISING,ECMS.FWP-HP.SPEED.PROVEN,STATE,PROVEN,INFO,P4,FWP-HP 속도 확인 성립,RND_VALIDATED_NOT_PLANT_APPROVED
121,FWP-HP-021,1,FWP_HP_SPEED_PROVEN,FALLING,ECMS.FWP-HP.SPEED.PROVEN,STATE,LOST,WARNING,P2,FWP-HP 속도 확인 상실,RND_VALIDATED_NOT_PLANT_APPROVED
