logic_id,platform,console_scope,console_csv,format_profile,system,subsystem,equipment,source_class,source_tag_ids,source_model_variables,derived_signal,alarm_type,alarm_text_ko,condition_expression,threshold_basis,threshold_value,threshold_unit,threshold_direction,delay_s,hysteresis,priority_rank,display_priority,display_color_ko,display_hex,latching,ack_required,shelvable,trip_action,enabled_default,editable,assumption_class,data_origin,validation_status,implementation_readiness,source_url,note_ko,source_platform,source_system,legacy_condition_expression,legacy_threshold_basis,legacy_threshold_value,legacy_threshold_unit,calibration_signal,calibration_nominal_value,calibration_source_file,calibration_window_s,absolute_conversion_status,logic_enable_reason
AL-0002,DCS1,GT,dcs1.csv,SIEMENS_GT_ST,GT,GT Protection,Gas Turbine,A-L_SCENARIO,,,BOOLEAN_EVENT,TRIP,GT Master Trip,GT_MASTER_TRIP == TRUE,BOOLEAN_EVENT,,,EVENT,0,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_GT_TRIP,TRUE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,SCENARIO_ONLY_UNVERIFIED,SCENARIO_SOURCE_REQUIRED,https://build.openmodelica.org/Documentation/ThermoSysPro.Examples.Book.PowerPlants.CombinedCyclePowerPlant.GasTurbineTrip.html,시연용 A-L 이벤트 정의. 실제 DCS/ECMS 태그가 확보되면 1:1 매핑 필요.,DCS1,Gas Turbine,GT_MASTER_TRIP == TRUE,BOOLEAN_EVENT,,,,,,,UNCHANGED_DISCRETE_OR_ABSOLUTE,"Boolean, time, count, quality, or existing absolute rule"
AL-0781,DCS1,GT,dcs1.csv,SIEMENS_GT_ST,GT,GT Protection,GT Bearings,A-L_SCENARIO,DCS1.GT.BRG.VIB_TRIP,,max_bearing_vibration,TRIP,GT Bearings 진동 TRIP,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,HIGH,1,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_GT_TRIP,FALSE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,,시연용 A-L 후보. 태그명·비율 임계값은 가정이며 실제 제작사/현장 태그와 설정값으로 교체 필요.,DCS1,Gas Turbine,max_bearing_vibration > PRE_EVENT_BASELINE * 1.5 for 1 s,PRE_EVENT_BASELINE_RATIO,1.5,ratio_to_baseline,,,,,DEFERRED_SCENARIO_SENSOR,Scenario-only sensor is not a solved model quantity
AL-0784,DCS1,GT,dcs1.csv,SIEMENS_GT_ST,GT,GT Protection,GT Combustor,A-L_SCENARIO,DCS1.GT.FLAME.LOSS_TRIP,,flame_intensity,TRIP,GT Combustor 화염소실 TRIP,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,LOW,1,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_GT_TRIP,FALSE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,,시연용 A-L 후보. 태그명·비율 임계값은 가정이며 실제 제작사/현장 태그와 설정값으로 교체 필요.,DCS1,Gas Turbine,flame_intensity < PRE_EVENT_BASELINE * 0.4 for 1 s,PRE_EVENT_BASELINE_RATIO,0.4,ratio_to_baseline,,,,,DEFERRED_SCENARIO_SENSOR,Scenario-only sensor is not a solved model quantity
AL-0785,DCS1,GT,dcs1.csv,SIEMENS_GT_ST,GT,GT Protection,GT Exhaust,A-L_SCENARIO,DCS1.GT.EXHAUST.SPREAD_TRIP,,temperature_spread,TRIP,GT Exhaust 온도편차 TRIP,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,HIGH,2,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_GT_TRIP,FALSE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,,시연용 A-L 후보. 태그명·비율 임계값은 가정이며 실제 제작사/현장 태그와 설정값으로 교체 필요.,DCS1,Gas Turbine,temperature_spread > PRE_EVENT_BASELINE * 1.6 for 2 s,PRE_EVENT_BASELINE_RATIO,1.6,ratio_to_baseline,,,,,DEFERRED_SCENARIO_SENSOR,Scenario-only sensor is not a solved model quantity
AL-0782,DCS1,GT,dcs1.csv,SIEMENS_GT_ST,GT,GT Protection,GT Lube Oil,A-L_SCENARIO,DCS1.GT.LUBE_OIL.PRESS_TRIP,,pressure,TRIP,GT Lube Oil 압력저하 TRIP,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,LOW,2,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_GT_TRIP,FALSE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,,시연용 A-L 후보. 태그명·비율 임계값은 가정이며 실제 제작사/현장 태그와 설정값으로 교체 필요.,DCS1,Gas Turbine,pressure < PRE_EVENT_BASELINE * 0.7 for 2 s,PRE_EVENT_BASELINE_RATIO,0.7,ratio_to_baseline,,,,,DEFERRED_SCENARIO_SENSOR,Scenario-only sensor is not a solved model quantity
AL-0783,DCS1,GT,dcs1.csv,SIEMENS_GT_ST,GT,GT Protection,GT Shaft,A-L_SCENARIO,DCS1.GT.SHAFT.OVERSPEED_TRIP,,speed,TRIP,GT Shaft 과속도 TRIP,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,HIGH,1,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_GT_TRIP,FALSE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,,시연용 A-L 후보. 태그명·비율 임계값은 가정이며 실제 제작사/현장 태그와 설정값으로 교체 필요.,DCS1,Gas Turbine,speed > PRE_EVENT_BASELINE * 1.1 for 1 s,PRE_EVENT_BASELINE_RATIO,1.1,ratio_to_baseline,,,,,DEFERRED_SCENARIO_SENSOR,Scenario-only sensor is not a solved model quantity
AL-0001,DCS1,GT/ST,dcs1.csv,SIEMENS_GT_ST,GT/ST,GT/ST Common / ESD,Unit ESD,A-L_SCENARIO,,,BOOLEAN_EVENT,TRIP,비상정지 작동,ESD_PUSHBUTTON == TRUE,BOOLEAN_EVENT,,,EVENT,0,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_UNIT_TRIP,TRUE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,SCENARIO_ONLY_UNVERIFIED,SCENARIO_SOURCE_REQUIRED,https://build.openmodelica.org/Documentation/ThermoSysPro.Examples.Book.PowerPlants.CombinedCyclePowerPlant.GasTurbineTrip.html,시연용 A-L 이벤트 정의. 실제 DCS/ECMS 태그가 확보되면 1:1 매핑 필요.,DCS1,Emergency Shutdown,ESD_PUSHBUTTON == TRUE,BOOLEAN_EVENT,,,,,,,UNCHANGED_DISCRETE_OR_ABSOLUTE,"Boolean, time, count, quality, or existing absolute rule"
AL-0005,DCS1,GT/ST,dcs1.csv,SIEMENS_GT_ST,GT/ST,GT/ST Common / Unit Protection,Unit Master,A-L_SCENARIO,,,BOOLEAN_EVENT,TRIP,Unit Master Trip,UNIT_MASTER_TRIP == TRUE,BOOLEAN_EVENT,,,EVENT,0,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_UNIT_TRIP,TRUE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,SCENARIO_ONLY_UNVERIFIED,SCENARIO_SOURCE_REQUIRED,https://build.openmodelica.org/Documentation/ThermoSysPro.Examples.Book.PowerPlants.CombinedCyclePowerPlant.GasTurbineTrip.html,시연용 A-L 이벤트 정의. 실제 DCS/ECMS 태그가 확보되면 1:1 매핑 필요.,DCS1,Unit,UNIT_MASTER_TRIP == TRUE,BOOLEAN_EVENT,,,,,,,UNCHANGED_DISCRETE_OR_ABSOLUTE,"Boolean, time, count, quality, or existing absolute rule"
AL-0840,DCS1,ST,dcs1.csv,SIEMENS_GT_ST,ST,ST Protection,ST Bearings,A-L_SCENARIO,DCS1.ST.BRG.VIB_TRIP,,max_bearing_vibration,TRIP,ST Bearings 진동 TRIP,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,HIGH,1,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_ST_TRIP,FALSE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,,시연용 A-L 후보. 태그명·비율 임계값은 가정이며 실제 제작사/현장 태그와 설정값으로 교체 필요.,DCS1,Steam Turbine,max_bearing_vibration > PRE_EVENT_BASELINE * 1.5 for 1 s,PRE_EVENT_BASELINE_RATIO,1.5,ratio_to_baseline,,,,,DEFERRED_SCENARIO_SENSOR,Scenario-only sensor is not a solved model quantity
AL-0842,DCS1,ST,dcs1.csv,SIEMENS_GT_ST,ST,ST Protection,ST Lube Oil,A-L_SCENARIO,DCS1.ST.LUBE_OIL.PRESS_TRIP,,pressure,TRIP,ST Lube Oil 압력저하 TRIP,DISABLED_UNTIL_ABSOLUTE_PHYSICAL_SIGNAL_AVAILABLE,ABSOLUTE_VALUE_PENDING,,,LOW,2,manual reset,1,CRITICAL,빨강,#FF3B30,TRUE,TRUE,FALSE,INITIATE_ST_TRIP,FALSE,TRUE,A-L,DEMO_SCENARIO_ASSUMED,ABSOLUTE_PHYSICAL_VALUE_NOT_AVAILABLE,DISABLED_PENDING_PHYSICAL_OUTPUT,,시연용 A-L 후보. 태그명·비율 임계값은 가정이며 실제 제작사/현장 태그와 설정값으로 교체 필요.,DCS1,Steam Turbine,pressure < PRE_EVENT_BASELINE * 0.7 for 2 s,PRE_EVENT_BASELINE_RATIO,0.7,ratio_to_baseline,,,,,DEFERRED_SCENARIO_SENSOR,Scenario-only sensor is not a solved model quantity
