index,canonical_tag,opcua_browse_name,control_point_id,system,lab_group,role,unit,writable,present_in_uploaded_RAW,physical_effect,analysis_policy,implementation_status,source_url,run41_validation_status,release_status,run41_note,identity_scope,hallucination_audit_status,live_validation_status,write_validation_status,live_validation_run
0,CMD.VLV.HP_FWCV.MODE_AUTO,vppVlvHPFWCVModeAutoNative,HP_FWCV,HRSG,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
1,CMD.VLV.HP_FWCV.MANUAL_POSITION,vppVlvHPFWCVManualCmdNative,HP_FWCV,HRSG,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
2,CMD.VLV.HP_FWCV.FAULT_ENABLE,vppVlvHPFWCVFaultEnableNative,HP_FWCV,HRSG,VALVE_FAULT_INJECTION,FAULT_ENABLE,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
3,CMD.VLV.HP_FWCV.FAULT_POSITION,vppVlvHPFWCVFaultValueNative,HP_FWCV,HRSG,VALVE_FAULT_INJECTION,FAULT_FORCED_VALUE,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
4,CMD.VLV.HP_STEAM_VLV.MODE_AUTO,vppVlvHPSteamModeAutoNative,HP_STEAM_VLV,HRSG,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
5,CMD.VLV.HP_STEAM_VLV.MANUAL_POSITION,vppVlvHPSteamManualCmdNative,HP_STEAM_VLV,HRSG,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
6,CMD.VLV.HP_STEAM_VLV.FAULT_ENABLE,vppVlvHPSteamFaultEnableNative,HP_STEAM_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_ENABLE,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
7,CMD.VLV.HP_STEAM_VLV.FAULT_POSITION,vppVlvHPSteamFaultValueNative,HP_STEAM_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_FORCED_VALUE,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
8,CMD.VLV.IP_FWCV.MODE_AUTO,vppVlvIPFWCVModeAutoNative,IP_FWCV,HRSG,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
9,CMD.VLV.IP_FWCV.MANUAL_POSITION,vppVlvIPFWCVManualCmdNative,IP_FWCV,HRSG,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
10,CMD.VLV.IP_FWCV.FAULT_ENABLE,vppVlvIPFWCVFaultEnableNative,IP_FWCV,HRSG,VALVE_FAULT_INJECTION,FAULT_ENABLE,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
11,CMD.VLV.IP_FWCV.FAULT_POSITION,vppVlvIPFWCVFaultValueNative,IP_FWCV,HRSG,VALVE_FAULT_INJECTION,FAULT_FORCED_VALUE,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
12,CMD.VLV.IP_STEAM_VLV.MODE_AUTO,vppVlvIPSteamModeAutoNative,IP_STEAM_VLV,HRSG,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
13,CMD.VLV.IP_STEAM_VLV.MANUAL_POSITION,vppVlvIPSteamManualCmdNative,IP_STEAM_VLV,HRSG,VALVE_CONTROL,MANUAL_COMMAND,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
14,CMD.VLV.IP_STEAM_VLV.FAULT_ENABLE,vppVlvIPSteamFaultEnableNative,IP_STEAM_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_ENABLE,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
15,CMD.VLV.IP_STEAM_VLV.FAULT_POSITION,vppVlvIPSteamFaultValueNative,IP_STEAM_VLV,HRSG,VALVE_FAULT_INJECTION,FAULT_FORCED_VALUE,pu,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
16,CMD.VLV.LP_STEAM_VLV.MODE_AUTO,vppVlvLPSteamModeAutoNative,LP_STEAM_VLV,HRSG,VALVE_CONTROL,AUTO_MAN_SELECT,BOOL,Y,Y,Changes current Modelica valve control/fault input through native OPC UA.,RAW/EVENT result may be analyzed; Scenario Lab identity/preset/expected cause must not be provided to analyzer.,LIVE_OPCUA_VALIDATED,https://github.com/khaku25/triplens-thermosyspro-cloud-runner/blob/af0c9f04971995f77c3170e5f56ec38558969e28/opcua_native_valve_nodes_v1.csv,,,,,,PASS_LIVE_OPCUA,WRITE_PERSISTENCE_PASS_RUN54,Actions #54 / 35309650110
