catalog_index,equipment_id,label_ko,system,equipment_type,command,source_execution_layer,source_status,model_input,feedback_tag,strict_class,transaction_status,native_dispatch_status,independent_feedback_status,evidence
1,GTG,GT 발전기,GT,GENERATOR,START,THERMO_ADAPTER_REQUIRED,PROVISIONAL,GT_BOUNDARY,TSP.FG_IN.MASS_FLOW_IN,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:GT_BOUNDARY
2,GTG,GT 발전기,GT,GENERATOR,STOP,THERMO_ADAPTER_REQUIRED,PROVISIONAL,GT_BOUNDARY,TSP.FG_IN.MASS_FLOW_IN,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:GT_BOUNDARY
3,GTG,GT 발전기,GT,GENERATOR,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,GT_TRIP,ECMS.52GT.CLOSED,PHYSICAL_CONNECTED,PHYSICAL_PATH_PROVEN_ACK_RESULT_PENDING,SCENARIO_NATIVE_PATH_PROVEN,STATIC_FIX_PENDING_LIVE_PROOF,scripts/patch_turbine_bypass_model.py;modelica/TripLens_CombinedCycle_TripTAC.mo.tpl;tests/test_gt_st_trip_independence.py;data/opcua_lp_bfp_nodes_v1.csv
4,GTG,GT 발전기,GT,GENERATOR,DERATE,THERMO_BOUNDARY,CONNECTED_VPP,GT_DERATE_CMD,TSP.FG_IN.MASS_FLOW_IN,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:GT_DERATE_CMD
5,GTG,GT 발전기,GT,GENERATOR,RESET,THERMO_ADAPTER_REQUIRED,PROVISIONAL,GT_BOUNDARY,TSP.FG_IN.MASS_FLOW_IN,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:GT_BOUNDARY
6,STG,ST 발전기,ST,GENERATOR,START,THERMO_ADAPTER_REQUIRED,PROVISIONAL,ST_START,TSP.GEN.ACTIVE_POWER,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:ST_START
7,STG,ST 발전기,ST,GENERATOR,STOP,THERMO_ADAPTER_REQUIRED,PROVISIONAL,ST_STOP,TSP.GEN.ACTIVE_POWER,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:ST_STOP
8,STG,ST 발전기,ST,GENERATOR,TRIP,ELECTRICAL_ENGINE,CONNECTED_VPP,ST_TRIP,ECMS.52ST.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.52ST.CLOSED
9,STG,ST 발전기,ST,GENERATOR,RESET,THERMO_ADAPTER_REQUIRED,PROVISIONAL,ST_RESET,ECMS.52ST.CLOSED,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:ST_RESET
10,CB-52GT,52GT,ECMS,BREAKER,OPEN,ELECTRICAL_ENGINE,CONNECTED_VPP,CB_52GT_CMD,ECMS.52GT.CLOSED,ELECTRICAL_ENGINE_ONLY,ECMS_STATE_MACHINE_ONLY,NOT_APPLICABLE,ELECTRICAL_ONLY,config/ecms_command_catalog.csv;electrical_feedback:ECMS.52GT.CLOSED
