logic_id,control_point_id,logic_type,expression,delay_s,enabled_default,implementation_status,description_ko
NATIVE_OPCUA_VLV_HP_FWCV_SELECT_CMD,HP_FWCV,CONTROL_SELECT,DCS.VLV.HP_FWCV.CMD = if CMD.VLV.HP_FWCV.MODE_AUTO then DCS.VLV.HP_FWCV.AUTO_CMD else CMD.VLV.HP_FWCV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_HP_FWCV_APPLY_FAULT,HP_FWCV,FAULT_OVERRIDE,DCS.VLV.HP_FWCV.POSITION = if CMD.VLV.HP_FWCV.FAULT_ENABLE then CMD.VLV.HP_FWCV.FAULT_POSITION else DCS.VLV.HP_FWCV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_HP_FWCV_CALC_DEVIATION,HP_FWCV,CALCULATION,DCS.VLV.HP_FWCV.DEVIATION = DCS.VLV.HP_FWCV.CMD - DCS.VLV.HP_FWCV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_HP_FWCV_DEVIATION_ALARM,HP_FWCV,ALARM,abs(DCS.VLV.HP_FWCV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
NATIVE_OPCUA_VLV_HP_FWCV_OPEN_LS,HP_FWCV,LIMIT_STATE,DCS.VLV.HP_FWCV.POSITION >= 0.98,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전개 상태
NATIVE_OPCUA_VLV_HP_FWCV_CLOSE_LS,HP_FWCV,LIMIT_STATE,DCS.VLV.HP_FWCV.POSITION <= 0.02,0,1,NATIVE_OPCUA_CONNECTED,실제 개도 기준 전폐 상태
NATIVE_OPCUA_VLV_HP_STEAM_VLV_SELECT_CMD,HP_STEAM_VLV,CONTROL_SELECT,DCS.VLV.HP_STEAM_VLV.CMD = if CMD.VLV.HP_STEAM_VLV.MODE_AUTO then DCS.VLV.HP_STEAM_VLV.AUTO_CMD else CMD.VLV.HP_STEAM_VLV.MANUAL_POSITION,0,1,NATIVE_OPCUA_CONNECTED,AUTO와 수동 명령 선택
NATIVE_OPCUA_VLV_HP_STEAM_VLV_APPLY_FAULT,HP_STEAM_VLV,FAULT_OVERRIDE,DCS.VLV.HP_STEAM_VLV.POSITION = if CMD.VLV.HP_STEAM_VLV.FAULT_ENABLE then CMD.VLV.HP_STEAM_VLV.FAULT_POSITION else DCS.VLV.HP_STEAM_VLV.CMD,0,1,NATIVE_OPCUA_CONNECTED,고장은 CMD를 바꾸지 않고 실제 적용값만 변경
NATIVE_OPCUA_VLV_HP_STEAM_VLV_CALC_DEVIATION,HP_STEAM_VLV,CALCULATION,DCS.VLV.HP_STEAM_VLV.DEVIATION = DCS.VLV.HP_STEAM_VLV.CMD - DCS.VLV.HP_STEAM_VLV.POSITION,0,1,NATIVE_OPCUA_CONNECTED,명령과 실제 개도의 편차 계산
NATIVE_OPCUA_VLV_HP_STEAM_VLV_DEVIATION_ALARM,HP_STEAM_VLV,ALARM,abs(DCS.VLV.HP_STEAM_VLV.DEVIATION) >= 0.05,1,1,NATIVE_OPCUA_CONNECTED,5% 이상 편차가 1초 지속되면 경보
