logic_id,control_point_id,logic_type,expression,delay_s,enabled_default,implementation_status,description_ko
FMU_VLV_HP_FWCV_SELECT_CMD,HP_FWCV,CONTROL_SELECT,FMU.VLV.HP_FWCV.CMD = if FMU.VLV.HP_FWCV.MODE_AUTO then FMU.VLV.HP_FWCV.AUTO_CMD else FMU.VLV.HP_FWCV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_HP_FWCV_APPLY_FAULT,HP_FWCV,FAULT_OVERRIDE,FMU.VLV.HP_FWCV.FB = if FMU.VLV.HP_FWCV.FAULT_ENABLE then FMU.VLV.HP_FWCV.FAULT_VALUE else FMU.VLV.HP_FWCV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_HP_FWCV_CALC_DEVIATION,HP_FWCV,CALCULATION,FMU.VLV.HP_FWCV.DEVIATION = FMU.VLV.HP_FWCV.CMD - FMU.VLV.HP_FWCV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_HP_FWCV_DEVIATION_ALARM,HP_FWCV,ALARM,abs(FMU.VLV.HP_FWCV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_HP_FWCV_OPEN_LS,HP_FWCV,LIMIT_STATE,FMU.VLV.HP_FWCV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_HP_FWCV_CLOSE_LS,HP_FWCV,LIMIT_STATE,FMU.VLV.HP_FWCV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
FMU_VLV_HP_STEAM_VLV_SELECT_CMD,HP_STEAM_VLV,CONTROL_SELECT,FMU.VLV.HP_STEAM_VLV.CMD = if FMU.VLV.HP_STEAM_VLV.MODE_AUTO then FMU.VLV.HP_STEAM_VLV.AUTO_CMD else FMU.VLV.HP_STEAM_VLV.MAN_CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,AUTO와 수동 명령 선택
FMU_VLV_HP_STEAM_VLV_APPLY_FAULT,HP_STEAM_VLV,FAULT_OVERRIDE,FMU.VLV.HP_STEAM_VLV.FB = if FMU.VLV.HP_STEAM_VLV.FAULT_ENABLE then FMU.VLV.HP_STEAM_VLV.FAULT_VALUE else FMU.VLV.HP_STEAM_VLV.CMD,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,고장은 CMD를 바꾸지 않고 실제 적용값 FB만 변경
FMU_VLV_HP_STEAM_VLV_CALC_DEVIATION,HP_STEAM_VLV,CALCULATION,FMU.VLV.HP_STEAM_VLV.DEVIATION = FMU.VLV.HP_STEAM_VLV.CMD - FMU.VLV.HP_STEAM_VLV.FB,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,명령과 실제 적용 개도의 편차 계산
FMU_VLV_HP_STEAM_VLV_DEVIATION_ALARM,HP_STEAM_VLV,ALARM,abs(FMU.VLV.HP_STEAM_VLV.DEVIATION) >= 0.05,1,1,DESIGN_ONLY_UNTIL_FMU_BUILD,5% 이상 편차가 1초 지속되면 경보
FMU_VLV_HP_STEAM_VLV_OPEN_LS,HP_STEAM_VLV,LIMIT_STATE,FMU.VLV.HP_STEAM_VLV.FB >= 0.98,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전개 상태
FMU_VLV_HP_STEAM_VLV_CLOSE_LS,HP_STEAM_VLV,LIMIT_STATE,FMU.VLV.HP_STEAM_VLV.FB <= 0.02,0,1,DESIGN_ONLY_UNTIL_FMU_BUILD,실제 개도 기준 전폐 상태
