no,screen,svg_file,area,component,root_dom_id,binding_tags,visual_states,interaction,refresh,source_current_status,acceptance,notes,audit_status,audit_evidence
1,OVERVIEW,topology/triplens_ecms_vpp.svg,STATUS,OPC UA link badge,status-opcua,SYS.OPCUA.CONNECTED; BAD_NODE_COUNT; STALE_NODE_COUNT,green GOOD / amber STALE / red BAD,click→diagnostics,100 ms,MISSING,No green unless all required nodes Good,기존 SVG는 data-view만 있고 data binding 없음,BOUND_UNVERIFIED_RUNTIME,id=status-opcua has a binding attribute; live DataValue is not proven
2,OVERVIEW,topology/triplens_ecms_vpp.svg,GT,GT generator symbol,equip-gtg,GT power/speed; GT trip latch,running/tripped/quality-bad,click→GT faceplate,100 ms,STATIC_ONLY,trip state follows latch and 52GT,축약 GT 표시 배지 필수,BOUND_UNVERIFIED_RUNTIME,id=equip-gtg has a binding attribute; live DataValue is not proven
3,OVERVIEW,topology/triplens_ecms_vpp.svg,GT,52GT breaker,cb-52gt,52GT CLOSED/TRIP_CMD,closed/open/trip-command/bad,click→breaker faceplate,10 ms,STATIC_ONLY,CMD before OPEN in event log,OPEN과 TRIP 시각 구분,BOUND_UNVERIFIED_RUNTIME,id=cb-52gt has a binding attribute; live DataValue is not proven
4,OVERVIEW,topology/triplens_ecms_vpp.svg,ST,ST generator symbol,equip-stg,ST power; ST latch,running/tripped/quality-bad,click→ST faceplate,100 ms,STATIC_ONLY,power is native solved value,MW는 W/1e6 표시변환만 허용,BOUND_UNVERIFIED_RUNTIME,id=equip-stg has a binding attribute; live DataValue is not proven
5,OVERVIEW,topology/triplens_ecms_vpp.svg,ST,52ST breaker,cb-52st,52ST CLOSED/TRIP_CMD,closed/open/intertrip/bad,click→breaker faceplate,10 ms,STATIC_ONLY,independent ST chain,GT latch fallback 금지,BOUND_UNVERIFIED_RUNTIME,id=cb-52st has a binding attribute; live DataValue is not proven
6,OVERVIEW,topology/triplens_ecms_vpp.svg,HRSG,HP drum mini-card,drum-hp,TSP.DRUM.HP.LEVEL_M; PRESSURE_PA,normal/alarm/bad,click→HRSG,100 ms,MISSING,value+unit+quality visible,경보색은 알람상태에서만,BOUND_UNVERIFIED_RUNTIME,id=drum-hp has a binding attribute; live DataValue is not proven
7,OVERVIEW,topology/triplens_ecms_vpp.svg,HRSG,IP drum mini-card,drum-ip,TSP.DRUM.IP.LEVEL_M; PRESSURE_PA,normal/alarm/bad,click→HRSG,100 ms,MISSING,value+unit+quality visible,경보색은 알람상태에서만,BOUND_UNVERIFIED_RUNTIME,id=drum-ip has a binding attribute; live DataValue is not proven
8,OVERVIEW,topology/triplens_ecms_vpp.svg,HRSG,LP drum mini-card,drum-lp,TSP.DRUM.LP.LEVEL_M; PRESSURE_PA,normal/alarm/bad,click→HRSG,100 ms,MISSING,value+unit+quality visible,경보색은 알람상태에서만,BOUND_UNVERIFIED_RUNTIME,id=drum-lp has a binding attribute; live DataValue is not proven
9,OVERVIEW,topology/triplens_ecms_vpp.svg,BOP,Condenser,condenser,COND pressure/level,normal/alarm/bad,click→bypass screen,100 ms,MISSING,native pressure/level displayed,값을 프런트엔드에서 생성 금지,BOUND_UNVERIFIED_RUNTIME,id=condenser has a binding attribute; live DataValue is not proven
10,TRIP_SEQUENCE,NEW: topology/trip_sequence.svg,CAUSAL_CHAIN,GT Trip CMD,trip-gt-cmd,TSP.TRIP.GT.CMD_READBACK,pending/asserted/failed/bad,hover→timestamp,10 ms event / 100 ms analog,MISSING,strict timestamp order; no fallback,블라인드 테스트 핵심 화면,BOUND_UNVERIFIED_RUNTIME,id=trip-gt-cmd has a binding attribute; live DataValue is not proven
11,TRIP_SEQUENCE,NEW: topology/trip_sequence.svg,CAUSAL_CHAIN,GT Trip Latch,trip-gt-latch,TSP.TRIP.GT.LATCH,pending/asserted/failed/bad,hover→timestamp,10 ms event / 100 ms analog,MISSING,strict timestamp order; no fallback,블라인드 테스트 핵심 화면,BOUND_UNVERIFIED_RUNTIME,id=trip-gt-latch has a binding attribute; live DataValue is not proven
12,TRIP_SEQUENCE,NEW: topology/trip_sequence.svg,CAUSAL_CHAIN,52GT Trip CMD,cb-52gt-trip-cmd,TSP.CB.52GT.TRIP_CMD,pending/asserted/failed/bad,hover→timestamp,10 ms event / 100 ms analog,MISSING,strict timestamp order; no fallback,블라인드 테스트 핵심 화면,BOUND_UNVERIFIED_RUNTIME,id=cb-52gt-trip-cmd has a binding attribute; live DataValue is not proven
13,TRIP_SEQUENCE,NEW: topology/trip_sequence.svg,CAUSAL_CHAIN,52GT OPEN,cb-52gt-open,TSP.CB.52GT.CLOSED,pending/asserted/failed/bad,hover→timestamp,10 ms event / 100 ms analog,MISSING,strict timestamp order; no fallback,블라인드 테스트 핵심 화면,BOUND_UNVERIFIED_RUNTIME,id=cb-52gt-open has a binding attribute; live DataValue is not proven
14,TRIP_SEQUENCE,NEW: topology/trip_sequence.svg,CAUSAL_CHAIN,Physical response,trip-physical-response,GT exhaust + ST/HRSG/condenser trends,pending/asserted/failed/bad,hover→timestamp,10 ms event / 100 ms analog,MISSING,strict timestamp order; no fallback,블라인드 테스트 핵심 화면,BOUND_UNVERIFIED_RUNTIME,id=trip-physical-response has a binding attribute; live DataValue is not proven
