tag_id,platform,system,subsystem,equipment_id,equipment_type,signal_name,description_ko,io_type,data_type,unit,tag_class,value_basis,limit_basis,model_mapping,normal_or_initial,alarm_limits,trip_or_event_logic,priority,sample_ms,editable,gt_trip_behavior,source_url,notes
TSP.SYS.SIM_TIME,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,SIM_TIME,시뮬레이션 시간,CALC,REAL,s,T,T,A,,0,USER_EDIT,,INFO,1000,Y,continuous,,TripLens alias
TSP.SYS.RUN_STATUS,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,RUN_STATUS,시뮬레이션 실행상태,CALC,ENUM,-,T,T,A,,STOPPED,USER_EDIT,,INFO,1000,Y,RUNNING→COMPLETED,,TripLens alias
TSP.SYS.SCENARIO_ID,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,SCENARIO_ID,선택 시나리오,CALC,STRING,-,T,T,A,,GT_TRIP,USER_EDIT,,INFO,1000,Y,GT_TRIP,,TripLens alias
TSP.SYS.SCENARIO_PHASE,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,SCENARIO_PHASE,시나리오 단계,CALC,ENUM,-,T,T,A,,PRETRIP,USER_EDIT,,INFO,1000,Y,PRETRIP→RUNDOWN→POSTTRIP,,TripLens alias
TSP.SYS.DATA_QUALITY,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,DATA_QUALITY,데이터 품질,CALC,ENUM,-,T,T,A,,GOOD,USER_EDIT,,INFO,1000,Y,GOOD/BAD/STALE,,TripLens alias
TSP.SYS.SOLVER_STATUS,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,SOLVER_STATUS,해석기 상태,CALC,ENUM,-,T,T,A,,READY,USER_EDIT,,INFO,1000,Y,READY/RUN/FAIL,,TripLens alias
TSP.SYS.MODEL_TRAIN_COUNT,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,MODEL_TRAIN_COUNT,모델링 Train 수,CALC,INT,count,M,M,A,,1,USER_EDIT,,INFO,1000,Y,constant,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,TripLens alias
TSP.SYS.PLANT_GT_COUNT_REF,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,PLANT_GT_COUNT_REF,실제 발전소 GT 수 공개 참조,CALC,INT,count,M,M,A,,2,USER_EDIT,,INFO,1000,Y,constant,https://ep.liu.se/konferensartikel.aspx?Article_No=46&issue=132&series=,TripLens alias
TSP.SYS.TAGSET_REV,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,TAGSET_REV,태그셋 개정번호,CALC,STRING,-,T,T,A,,REV0,USER_EDIT,,INFO,1000,Y,constant,,TripLens alias
TSP.SYS.EVENT_SEQUENCE_NO,Thermo VPP,SYS,SIMULATION,SYS-001,Simulation Controller,EVENT_SEQUENCE_NO,이벤트 순번,CALC,INT,count,T,T,A,,0,USER_EDIT,,INFO,1000,Y,increment on event,,TripLens alias
