tag,role,verification_status,matrix_status,source_owner,notes
GT.TRIP.CMD,CAUSE,MODEL_VERIFIED,IN_MATRIX,COMMANDBUS,Canonical alias for CMD.GTG.TRIP
ST.TRIP.CMD,CAUSE,MODEL_VERIFIED,CROSSWALK_REQUIRED,COMMANDBUS,Executable alias for CMD.STG.TRIP but not in the supplied Active Tag Master list
52GT.CLOSED,OBSERVED_FEEDBACK,MODEL_VERIFIED,CROSSWALK_REQUIRED,ECMS,Feedback used to derive the GT breaker-open cause; not in the supplied Active Tag Master list
ECMS.52GT.OPEN_WHILE_RUNNING,DERIVED_EVENT,MODEL_VERIFIED,CROSSWALK_REQUIRED,PROTECTION,Derived event used by the legacy executable matrix
FWP_HP.TRIPPED,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,PROTECTION,Derived summary; never a GT/ST causal source
FWP_HP.TRIP_LATCH,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,PROTECTION,Latched equipment state; not a common GT/ST cause
FWP_HP.SPEED_RPM,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,PROCESSBUS,Physical shaft speed
FWP_HP.SPEED_PROVEN,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS_MCC,Derived sequence state
FWP-HP.SPEED_PROVEN.LOST,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS_MCC,State transition alarm; not a Trip source
VCB_A01_TRIP_CMD,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,ECMS,HP BFP protection output command
HRSG.HP.DRUM.LEVEL.H,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,High alarm only; no common-trip route
HRSG.HP.DRUM.LEVEL.HH,CAUSE,MODEL_VERIFIED,IN_MATRIX,DCS2,Model threshold; plant approval pending
HRSG.HP.DRUM.LEVEL.L,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,Low alarm only; no common-trip route
HRSG.HP.DRUM.LEVEL.LL,CAUSE,MODEL_VERIFIED,IN_MATRIX,DCS2,Model threshold; plant approval pending
HRSG.IP.DRUM.LEVEL.H,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,High alarm only; no common-trip route
HRSG.IP.DRUM.LEVEL.HH,CAUSE,MODEL_VERIFIED,IN_MATRIX,DCS2,Model threshold; plant approval pending
HRSG.IP.DRUM.LEVEL.L,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,Low alarm only; no common-trip route
HRSG.IP.DRUM.LEVEL.LL,CAUSE,MODEL_VERIFIED,IN_MATRIX,DCS2,Model threshold; plant approval pending
HRSG.LP.DRUM.LEVEL.H,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,High alarm only; no common-trip route
HRSG.LP.DRUM.LEVEL.HH,CAUSE,MODEL_VERIFIED,IN_MATRIX,DCS2,Model threshold; plant approval pending
HRSG.LP.DRUM.LEVEL.L,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,Low alarm only; no common-trip route
HRSG.LP.DRUM.LEVEL.LL,CAUSE,MODEL_VERIFIED,IN_MATRIX,DCS2,Model threshold; plant approval pending
HRSG.HP.DRUM.PRESS.L,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,Pressure alarm is not wired to the current common-trip equations
HRSG.HP.DRUM.PRESS.LL,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,Pressure alarm is not wired to the current common-trip equations
HRSG.IP.DRUM.PRESS.L,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,Pressure alarm is not wired to the current common-trip equations
HRSG.IP.DRUM.PRESS.LL,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,Pressure alarm is not wired to the current common-trip equations
HRSG.LP.DRUM.PRESS.L,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,Pressure alarm is not wired to the current common-trip equations
HRSG.LP.DRUM.PRESS.LL,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,DCS2,Pressure alarm is not wired to the current common-trip equations
TSP.DRUM.HP.LEVEL,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,THERMOSYSPRO,Native model measurement
TSP.DRUM.IP.LEVEL,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,THERMOSYSPRO,Native model measurement
TSP.DRUM.LP.LEVEL,OBSERVABLE_ONLY,MODEL_VERIFIED,NOT_A_CAUSE,THERMOSYSPRO,Native model measurement
