index,rule_id,group,logic_name,logic_type,input_nodes,resolved_raw_inputs,output_nodes_or_tags,resolved_raw_outputs,resolved_derived_outputs,link_status,review_required,issue,validation_status,source_basis,live_input_link,live_output_link,live_validation_run,live_note
0,AL-GT-FLOW-L,GT Exhaust,GT exhaust flow low,ALARM,vppGTExhaustMassFlowState,vppGTExhaustMassFlowState,GT.EXHAUST.FLOW.L,,GT.EXHAUST.FLOW.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
1,AL-GT-FLOW-LL,GT Exhaust,GT exhaust flow low-low,ALARM,vppGTExhaustMassFlowState,vppGTExhaustMassFlowState,GT.EXHAUST.FLOW.LL,,GT.EXHAUST.FLOW.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
2,AL-GT-TEMP-L,GT Exhaust,GT exhaust temperature low,ALARM,vppGTExhaustTemperatureK,vppGTExhaustTemperatureK,GT.EXHAUST.TEMP.L,,GT.EXHAUST.TEMP.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
3,AL-GT-TEMP-LL,GT Exhaust,GT exhaust temperature low-low,ALARM,vppGTExhaustTemperatureK,vppGTExhaustTemperatureK,GT.EXHAUST.TEMP.LL,,GT.EXHAUST.TEMP.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
4,AL-HP-LEVEL-H,HP Drum,HP drum level H,ALARM,vppHPDrumLevelM,vppHPDrumLevelM,HRSG.HP.DRUM.LEVEL.H,,HRSG.HP.DRUM.LEVEL.H,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
5,AL-HP-LEVEL-HH,HP Drum,HP drum level HH,ALARM,vppHPDrumLevelM,vppHPDrumLevelM,HRSG.HP.DRUM.LEVEL.HH,,HRSG.HP.DRUM.LEVEL.HH,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
6,AL-HP-LEVEL-L,HP Drum,HP drum level L,ALARM,vppHPDrumLevelM,vppHPDrumLevelM,HRSG.HP.DRUM.LEVEL.L,,HRSG.HP.DRUM.LEVEL.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
7,AL-HP-LEVEL-LL,HP Drum,HP drum level LL,ALARM,vppHPDrumLevelM,vppHPDrumLevelM,HRSG.HP.DRUM.LEVEL.LL,,HRSG.HP.DRUM.LEVEL.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
8,AL-HP-PRESS-L,HP Drum,HP drum pressure L,ALARM,vppHPDrumPressurePa,vppHPDrumPressurePa,HRSG.HP.DRUM.PRESS.L,,HRSG.HP.DRUM.PRESS.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
9,AL-HP-PRESS-LL,HP Drum,HP drum pressure LL,ALARM,vppHPDrumPressurePa,vppHPDrumPressurePa,HRSG.HP.DRUM.PRESS.LL,,HRSG.HP.DRUM.PRESS.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
10,AL-HP-FLOW-L,HP Steam Flow,HP turbine steam flow L,ALARM,vppHPTurbineSteamFlowTH,vppHPTurbineSteamFlowTH,HRSG.HP.STEAM.FLOW.L,,HRSG.HP.STEAM.FLOW.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
11,AL-HP-FLOW-LL,HP Steam Flow,HP turbine steam flow LL,ALARM,vppHPTurbineSteamFlowTH,vppHPTurbineSteamFlowTH,HRSG.HP.STEAM.FLOW.LL,,HRSG.HP.STEAM.FLOW.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
12,AL-IP-LEVEL-H,IP Drum,IP drum level H,ALARM,vppIPDrumLevelM,vppIPDrumLevelM,HRSG.IP.DRUM.LEVEL.H,,HRSG.IP.DRUM.LEVEL.H,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
13,AL-IP-LEVEL-HH,IP Drum,IP drum level HH,ALARM,vppIPDrumLevelM,vppIPDrumLevelM,HRSG.IP.DRUM.LEVEL.HH,,HRSG.IP.DRUM.LEVEL.HH,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
14,AL-IP-LEVEL-L,IP Drum,IP drum level L,ALARM,vppIPDrumLevelM,vppIPDrumLevelM,HRSG.IP.DRUM.LEVEL.L,,HRSG.IP.DRUM.LEVEL.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
15,AL-IP-LEVEL-LL,IP Drum,IP drum level LL,ALARM,vppIPDrumLevelM,vppIPDrumLevelM,HRSG.IP.DRUM.LEVEL.LL,,HRSG.IP.DRUM.LEVEL.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
16,AL-IP-PRESS-L,IP Drum,IP drum pressure L,ALARM,vppIPDrumPressurePa,vppIPDrumPressurePa,HRSG.IP.DRUM.PRESS.L,,HRSG.IP.DRUM.PRESS.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
17,AL-IP-PRESS-LL,IP Drum,IP drum pressure LL,ALARM,vppIPDrumPressurePa,vppIPDrumPressurePa,HRSG.IP.DRUM.PRESS.LL,,HRSG.IP.DRUM.PRESS.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW input node exists,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
18,AL-IP-FLOW-L,IP Steam Flow,IP turbine steam flow L,ALARM,vppIPTurbineSteamFlowTH,vppIPTurbineSteamFlowTH,HRSG.IP.STEAM.FLOW.L,,HRSG.IP.STEAM.FLOW.L,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
19,AL-IP-FLOW-LL,IP Steam Flow,IP turbine steam flow LL,ALARM,vppIPTurbineSteamFlowTH,vppIPTurbineSteamFlowTH,HRSG.IP.STEAM.FLOW.LL,,HRSG.IP.STEAM.FLOW.LL,FULLY_RESOLVED,N,,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6,PASS_ALL_INPUTS_LIVE,PASS_RAW_OUTPUTS_LIVE,Actions #54 / 35309650110,missing_inputs=[]; missing_raw_outputs=[]
