logic_id,logic_type,group,logic_name,tag_id,event_tag,source_node,condition,delay,reset_hysteresis,status,verification_status,source_existence_status,linked_tag_ids,input_nodes,output_nodes_or_tags,output_class,input_group_id,source_basis
AL-GT-FLOW-L,ALARM,GT Exhaust,GT exhaust flow low,GT.EXHAUST.FLOW.L,GT.EXHAUST.FLOW.L,vppGTExhaustMassFlowState,value < 545 kg/s,0.2 s,+6 kg/s,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppGTExhaustMassFlowState;GT.EXHAUST.FLOW.L,vppGTExhaustMassFlowState,GT.EXHAUST.FLOW.L,DERIVED_ALARM,IG-001,Current DCS alarm rule; RAW input node exists
AL-GT-FLOW-LL,ALARM,GT Exhaust,GT exhaust flow low-low,GT.EXHAUST.FLOW.LL,GT.EXHAUST.FLOW.LL,vppGTExhaustMassFlowState,value < 300 kg/s,0.2 s,+6 kg/s,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppGTExhaustMassFlowState;GT.EXHAUST.FLOW.LL,vppGTExhaustMassFlowState,GT.EXHAUST.FLOW.LL,DERIVED_ALARM,IG-001,Current DCS alarm rule; RAW input node exists
AL-GT-TEMP-L,ALARM,GT Exhaust,GT exhaust temperature low,GT.EXHAUST.TEMP.L,GT.EXHAUST.TEMP.L,vppGTExhaustTemperatureK,value < 805 K,0.2 s,+5 K,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppGTExhaustTemperatureK;GT.EXHAUST.TEMP.L,vppGTExhaustTemperatureK,GT.EXHAUST.TEMP.L,DERIVED_ALARM,IG-002,Current DCS alarm rule; RAW input node exists
AL-GT-TEMP-LL,ALARM,GT Exhaust,GT exhaust temperature low-low,GT.EXHAUST.TEMP.LL,GT.EXHAUST.TEMP.LL,vppGTExhaustTemperatureK,value < 580 K,0.2 s,+5 K,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppGTExhaustTemperatureK;GT.EXHAUST.TEMP.LL,vppGTExhaustTemperatureK,GT.EXHAUST.TEMP.LL,DERIVED_ALARM,IG-002,Current DCS alarm rule; RAW input node exists
AL-HP-FLOW-L,ALARM,HP Steam Flow,HP turbine steam flow L,HRSG.HP.STEAM.FLOW.L,HRSG.HP.STEAM.FLOW.L,vppHPTurbineSteamFlowTH,value < 486 t/h,0.2 s,10.8 t/h,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPTurbineSteamFlowTH;HRSG.HP.STEAM.FLOW.L,vppHPTurbineSteamFlowTH,HRSG.HP.STEAM.FLOW.L,DERIVED_ALARM,IG-005,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-HP-FLOW-LL,ALARM,HP Steam Flow,HP turbine steam flow LL,HRSG.HP.STEAM.FLOW.LL,HRSG.HP.STEAM.FLOW.LL,vppHPTurbineSteamFlowTH,value < 324 t/h,0.2 s,10.8 t/h,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPTurbineSteamFlowTH;HRSG.HP.STEAM.FLOW.LL,vppHPTurbineSteamFlowTH,HRSG.HP.STEAM.FLOW.LL,DERIVED_ALARM,IG-005,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-HP-LEVEL-H,ALARM,HP Drum,HP drum level H,HRSG.HP.DRUM.LEVEL.H,HRSG.HP.DRUM.LEVEL.H,vppHPDrumLevelM,value > 1.15 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPDrumLevelM;HRSG.HP.DRUM.LEVEL.H,vppHPDrumLevelM,HRSG.HP.DRUM.LEVEL.H,DERIVED_ALARM,IG-003,Current DCS alarm rule; RAW input node exists
AL-HP-LEVEL-HH,ALARM,HP Drum,HP drum level HH,HRSG.HP.DRUM.LEVEL.HH,HRSG.HP.DRUM.LEVEL.HH,vppHPDrumLevelM,value > 1.25 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPDrumLevelM;HRSG.HP.DRUM.LEVEL.HH,vppHPDrumLevelM,HRSG.HP.DRUM.LEVEL.HH,DERIVED_ALARM,IG-003,Current DCS alarm rule; RAW input node exists
AL-HP-LEVEL-L,ALARM,HP Drum,HP drum level L,HRSG.HP.DRUM.LEVEL.L,HRSG.HP.DRUM.LEVEL.L,vppHPDrumLevelM,value < 0.95 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPDrumLevelM;HRSG.HP.DRUM.LEVEL.L,vppHPDrumLevelM,HRSG.HP.DRUM.LEVEL.L,DERIVED_ALARM,IG-003,Current DCS alarm rule; RAW input node exists
AL-HP-LEVEL-LL,ALARM,HP Drum,HP drum level LL,HRSG.HP.DRUM.LEVEL.LL,HRSG.HP.DRUM.LEVEL.LL,vppHPDrumLevelM,value < 0.85 m,0.5 s,0.02 m,ACTIVE,PARTIAL,LIVE_CENSUS_RESOLVED,vppHPDrumLevelM;HRSG.HP.DRUM.LEVEL.LL,vppHPDrumLevelM,HRSG.HP.DRUM.LEVEL.LL,DERIVED_ALARM,IG-003,Current DCS alarm rule; RAW input node exists
