equipment_id,label_ko,system,equipment_type,command,button_label,value_type,min_value,max_value,default_value,unit,execution_layer,model_input,feedback_tag,status,notes
GTG,GT 발전기,GT,GENERATOR,START,기동,DIGITAL,,,1,BOOL,THERMO_ADAPTER_REQUIRED,GT_BOUNDARY,TSP.FG_IN.MASS_FLOW_IN,PROVISIONAL,GT 경계조건 어댑터 연결 전에는 명령 큐만 생성
GTG,GT 발전기,GT,GENERATOR,STOP,정지,DIGITAL,,,0,BOOL,THERMO_ADAPTER_REQUIRED,GT_BOUNDARY,TSP.FG_IN.MASS_FLOW_IN,PROVISIONAL,정상 정지 명령
GTG,GT 발전기,GT,GENERATOR,TRIP,TRIP,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,GT_TRIP,52GT.CLOSED,CONNECTED_VPP,TRIP 요청은 active-high이며 성공조건은 52GT.CLOSED=0; GT Trip은 ST를 연계 Trip; 150/550 경계조건은 DERATING으로 분리
GTG,GT 발전기,GT,GENERATOR,DERATE,출력 감발,DIGITAL,,,1,BOOL,THERMO_BOUNDARY,GT_DERATE_CMD,TSP.FG_IN.MASS_FLOW_IN,CONNECTED_VPP,기존 606.94/893.75에서 150/550으로 낮추는 경로; breaker는 CLOSED 유지하며 TRIP이 아님
GTG,GT 발전기,GT,GENERATOR,RESET,RESET,DIGITAL,,,0,BOOL,THERMO_ADAPTER_REQUIRED,GT_BOUNDARY,TSP.FG_IN.MASS_FLOW_IN,PROVISIONAL,Reset은 breaker CLOSE 명령이 아님
STG,ST 발전기,ST,GENERATOR,START,기동,DIGITAL,,,1,BOOL,THERMO_ADAPTER_REQUIRED,ST_START,TSP.GEN.ACTIVE_POWER,PROVISIONAL,ST 기동 입력 포트 필요
STG,ST 발전기,ST,GENERATOR,STOP,정지,DIGITAL,,,0,BOOL,THERMO_ADAPTER_REQUIRED,ST_STOP,TSP.GEN.ACTIVE_POWER,PROVISIONAL,ST 정상 정지 입력 포트 필요
STG,ST 발전기,ST,GENERATOR,TRIP,TRIP,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,ST_TRIP,52ST.CLOSED,CONNECTED_VPP,TRIP 성공조건은 52ST.CLOSED=0; HP/MP admission valve 폐쇄는 2차 물리 shutdown 효과
STG,ST 발전기,ST,GENERATOR,RESET,RESET,DIGITAL,,,0,BOOL,THERMO_ADAPTER_REQUIRED,ST_RESET,52ST.CLOSED,PROVISIONAL,Reset은 breaker CLOSE 명령이 아님
CB-52GT,52GT,ECMS,BREAKER,OPEN,OPEN,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_52GT_CMD,52GT.CLOSED,CONNECTED_VPP,발전기 차단기 개방
CB-52GT,52GT,ECMS,BREAKER,CLOSE,CLOSE,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,CB_52GT_CMD,52GT.CLOSED,CONNECTED_VPP,동기검정 조건은 A 로직에서 추가
CB-52GT,52GT,ECMS,BREAKER,TRIP,TRIP,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_52GT_TRIP,52GT.CLOSED,CONNECTED_VPP,보호 Trip 결과는 52GT.CLOSED=0
CB-52GT,52GT,ECMS,BREAKER,RESET,RESET,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_52GT_RESET,52GT.CLOSED,CONNECTED_VPP,Lockout reset; breaker reclose는 별도 CLOSE
CB-52ST,52ST,ECMS,BREAKER,OPEN,OPEN,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_52ST_CMD,52ST.CLOSED,CONNECTED_VPP,발전기 차단기 개방
CB-52ST,52ST,ECMS,BREAKER,CLOSE,CLOSE,DIGITAL,,,1,BOOL,ELECTRICAL_ENGINE,CB_52ST_CMD,52ST.CLOSED,CONNECTED_VPP,동기검정 조건은 A 로직에서 추가
CB-52ST,52ST,ECMS,BREAKER,TRIP,TRIP,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_52ST_TRIP,52ST.CLOSED,CONNECTED_VPP,보호 Trip 결과는 52ST.CLOSED=0
CB-52ST,52ST,ECMS,BREAKER,RESET,RESET,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,CB_52ST_RESET,52ST.CLOSED,CONNECTED_VPP,Lockout reset; breaker reclose는 별도 CLOSE
GRID-154KV,154 kV 외부계통,ECMS,GRID,LOSS,계통 상실,DIGITAL,,,0,BOOL,ELECTRICAL_ENGINE,GRID_AVAILABLE,GRID-154KV.AVAILABLE,CONNECTED_VPP,외부계통 상실
